iter	MultiClass
0	1.026282153
1	0.9592793119
2	0.8916098359
3	0.8337694311
4	0.7820119057
5	0.7406570978
6	0.6953139773
7	0.6538612906
8	0.6190542194
9	0.5871731255
10	0.5567592807
11	0.5339150683
12	0.5094296389
13	0.4819700295
14	0.4594914677
15	0.4363025971
16	0.4164183245
17	0.3961745151
18	0.3791969202
19	0.3607658074
20	0.3448086419
21	0.3301314
22	0.3155197536
23	0.301075228
24	0.288155482
25	0.2763150948
26	0.2645162999
27	0.2548333008
28	0.244719438
29	0.2352248666
30	0.2254427155
31	0.2164417342
32	0.207937381
33	0.2005651686
34	0.1934901317
35	0.1854887112
36	0.1782300605
37	0.1714071206
38	0.1644671263
39	0.1587639139
40	0.1532003713
41	0.1472594756
42	0.1415321772
43	0.1367197053
44	0.1319663124
45	0.1273826473
46	0.123216728
47	0.1192104236
48	0.1152788474
49	0.1113827521
50	0.1077381712
51	0.1040122088
52	0.1006102221
53	0.09822861612
54	0.09525176379
55	0.09210303169
56	0.08974722439
57	0.08716332035
58	0.08456477423
59	0.08161352001
60	0.07919506736
61	0.07705119777
62	0.07463243863
63	0.07242195006
64	0.07057016527
65	0.06849162425
66	0.06641062611
67	0.06465723197
68	0.06291766041
69	0.06154688505
70	0.06008844551
71	0.05819433815
72	0.05684431925
73	0.05552109451
74	0.05411828083
75	0.05288781676
76	0.0518788787
77	0.05078950144
78	0.04951944723
79	0.048405143
