iter	Passed	Remaining
0	22	1763
1	40	1586
2	59	1529
3	78	1491
4	98	1473
5	117	1452
6	136	1421
7	156	1409
8	176	1393
9	195	1367
10	215	1354
11	236	1340
12	257	1327
13	276	1301
14	295	1280
15	314	1258
16	334	1238
17	354	1219
18	376	1208
19	395	1186
20	412	1158
21	430	1134
22	448	1112
23	466	1088
24	487	1071
25	503	1045
26	520	1020
27	538	999
28	555	976
29	572	954
30	591	934
31	608	913
32	627	893
33	646	875
34	664	854
35	680	832
36	701	815
37	719	794
38	737	774
39	757	757
40	776	738
41	794	718
42	811	698
43	829	678
44	846	658
45	863	638
46	881	619
47	903	602
48	922	583
49	941	564
50	961	546
51	981	528
52	999	509
53	1017	489
54	1034	470
55	1054	452
56	1075	434
57	1094	415
58	1112	396
59	1132	377
60	1151	358
61	1171	340
62	1190	321
63	1207	301
64	1225	282
65	1245	264
66	1271	246
67	1291	227
68	1317	210
69	1340	191
70	1361	172
71	1378	153
72	1396	133
73	1416	114
74	1434	95
75	1455	76
76	1473	57
77	1491	38
78	1509	19
79	1529	0
