actor,region,dmu,source_sheet,source_row,land_area_m2,land_lease_value_idr,labor_cost_idr,seed_purchase_value_idr,fertilizer_purchase_value_idr,pesticide_purchase_value_idr,equipment_rent_value_idr,production_value_idr,number_of_machines,value_of_milled_grains_idr,amount_of_milled_rice_kg,supporting_equipment_cost_idr,nilaiberashasilgiling,total_revenue_of_milling_machine_idr,total_rice_purchase_kg,total_rice_purchase_idr,building_rent_cost_idr,value_of_rice_sold_idr,total_precipitation_pct,precipitation_quality_pct,value_of_rice_purchase_idr
Farmer,Garut,1,Farmer Data,2,2800.0,4900000.0,1400000.0,644000.0,3640000.0,364000.0,470000.0,16200000.0,,,,,,,,,,,,,
Farmer,Garut,2,Farmer Data,3,1400.0,4900000.0,500000.0,322000.0,1820000.0,182000.0,540000.0,8100000.0,,,,,,,,,,,,,
Farmer,Garut,3,Farmer Data,4,2000.0,2000000.0,700000.0,200000.0,2600000.0,260000.0,690000.0,14850000.0,,,,,,,,,,,,,
Farmer,Garut,4,Farmer Data,5,1000.0,1800000.0,800000.0,230000.0,1300000.0,100000.0,340000.0,13050000.0,,,,,,,,,,,,,
Farmer,Garut,5,Farmer Data,6,800.0,1520000.0,580000.0,184000.0,1040000.0,104000.0,350000.0,10200000.0,,,,,,,,,,,,,
Farmer,Garut,6,Farmer Data,7,800.0,1400000.0,550000.0,184000.0,1040000.0,104000.0,350000.0,3600000.0,,,,,,,,,,,,,
Farmer,Garut,7,Farmer Data,8,1000.0,400000.0,500000.0,230000.0,1300000.0,180000.0,490000.0,8100000.0,,,,,,,,,,,,,
Farmer,Garut,8,Farmer Data,9,1400.0,700000.0,500000.0,322000.0,1820000.0,182000.0,470000.0,7850000.0,,,,,,,,,,,,,
Farmer,Garut,9,Farmer Data,10,5000.0,3500000.0,1200000.0,1150000.0,6500000.0,650000.0,690000.0,29700000.0,,,,,,,,,,,,,
Farmer,Garut,10,Farmer Data,11,2800.0,5040000.0,1150000.0,644000.0,3640000.0,364000.0,750000.0,36450000.0,,,,,,,,,,,,,
Farmer,Garut,11,Farmer Data,12,1000.0,1900000.0,1180000.0,230000.0,1300000.0,130000.0,390000.0,13050000.0,,,,,,,,,,,,,
Farmer,Garut,12,Farmer Data,13,3000.0,1800000.0,850000.0,690000.0,3900000.0,390000.0,790000.0,28200000.0,,,,,,,,,,,,,
Farmer,Garut,13,Farmer Data,14,1400.0,980000.0,800000.0,322000.0,1820000.0,182000.0,330000.0,9400000.0,,,,,,,,,,,,,
Farmer,Garut,14,Farmer Data,15,230.0,402500.0,120000.0,52900.0,391000.0,69000.0,420000.0,2100000.0,,,,,,,,,,,,,
Farmer,Garut,15,Farmer Data,16,1500.0,2850000.0,1800000.0,345000.0,1950000.0,195000.0,340000.0,19800000.0,,,,,,,,,,,,,
Farmer,Garut,16,Farmer Data,17,1200.0,3960000.0,500000.0,276000.0,1560000.0,156000.0,370000.0,6750000.0,,,,,,,,,,,,,
Farmer,Garut,17,Farmer Data,18,700.0,1225000.0,760000.0,161000.0,910000.0,91000.0,330000.0,9300000.0,,,,,,,,,,,,,
Farmer,Garut,18,Farmer Data,19,2000.0,3600000.0,3700000.0,460000.0,2000000.0,260000.0,690000.0,25650000.0,,,,,,,,,,,,,
Farmer,Garut,19,Farmer Data,20,1400.0,4900000.0,500000.0,322000.0,1820000.0,182000.0,470000.0,6750000.0,,,,,,,,,,,,,
Farmer,Garut,20,Farmer Data,21,2800.0,2800000.0,1000000.0,644000.0,3640000.0,280000.0,750000.0,13500000.0,,,,,,,,,,,,,
Farmer,Garut,21,Farmer Data,22,1000.0,4000000.0,500000.0,230000.0,1300000.0,130000.0,440000.0,5400000.0,,,,,,,,,,,,,
Farmer,Garut,22,Farmer Data,23,1400.0,4900000.0,500000.0,322000.0,1820000.0,182000.0,470000.0,6750000.0,,,,,,,,,,,,,
Farmer,Garut,23,Farmer Data,24,1000.0,4000000.0,500000.0,230000.0,1300000.0,130000.0,390000.0,5400000.0,,,,,,,,,,,,,
Farmer,Garut,24,Farmer Data,25,1400.0,4900000.0,500000.0,322000.0,1820000.0,182000.0,470000.0,6750000.0,,,,,,,,,,,,,
Farmer,Garut,25,Farmer Data,26,2000.0,1000000.0,850000.0,460000.0,2600000.0,260000.0,440000.0,14850000.0,,,,,,,,,,,,,
Farmer,Garut,26,Farmer Data,27,5000.0,3500000.0,1600000.0,1150000.0,6500000.0,500000.0,1200000.0,34650000.0,,,,,,,,,,,,,
Farmer,Garut,27,Farmer Data,28,7000.0,4900000.0,2000000.0,1610000.0,9100000.0,910000.0,1700000.0,49500000.0,,,,,,,,,,,,,
Farmer,Garut,28,Farmer Data,29,2000.0,2000000.0,1000000.0,460000.0,2600000.0,260000.0,450000.0,13180000.0,,,,,,,,,,,,,
Farmer,Garut,29,Farmer Data,30,120.0,210000.0,70000.0,27600.0,156000.0,15600.0,990000.0,1740000.0,,,,,,,,,,,,,
Farmer,Garut,30,Farmer Data,31,2000.0,3800000.0,540000.0,460000.0,2600000.0,200000.0,690000.0,25650000.0,,,,,,,,,,,,,
Farmer,Garut,31,Farmer Data,32,2100.0,3360000.0,1300000.0,483000.0,2730000.0,273000.0,470000.0,15150000.0,,,,,,,,,,,,,
Farmer,Garut,32,Farmer Data,33,1400.0,2240000.0,600000.0,322000.0,1820000.0,182000.0,400000.0,10100000.0,,,,,,,,,,,,,
