actor,region,dmu,source_sheet,source_row,land_area_m2,land_lease_value_idr,labor_cost_idr,seed_purchase_value_idr,fertilizer_purchase_value_idr,pesticide_purchase_value_idr,equipment_rent_value_idr,production_value_idr,number_of_machines,value_of_milled_grains_idr,amount_of_milled_rice_kg,supporting_equipment_cost_idr,nilaiberashasilgiling,total_revenue_of_milling_machine_idr,total_rice_purchase_kg,total_rice_purchase_idr,building_rent_cost_idr,value_of_rice_sold_idr,total_precipitation_pct,precipitation_quality_pct,value_of_rice_purchase_idr,total_cost,output_value,operational_cost,quantity_proxy,precipitation_stress_raw,actor_role,margin,rc_ratio,cost_revenue_ratio,margin_ratio,operational_burden_ratio,cost_per_quantity_proxy,output_per_quantity_proxy,negative_margin_flag,below_break_even_flag
Farmer,Garut,1,Farmer Data,2,2800.0,4900000.0,1400000.0,644000.0,3640000.0,364000.0,470000.0,16200000.0,,,,,,,,,,,,,,11418000.0,16200000.0,6770000.0,2800.0,,upstream production,4782000.0,1.418812401471361,0.7048148148148148,0.29518518518518516,0.41790123456790124,4077.8571428571427,5785.714285714285,0,0
Farmer,Garut,2,Farmer Data,3,1400.0,4900000.0,500000.0,322000.0,1820000.0,182000.0,540000.0,8100000.0,,,,,,,,,,,,,,8264000.0,8100000.0,5940000.0,1400.0,,upstream production,-164000.0,0.9801548886737658,1.020246913580247,-0.020246913580246915,0.7333333333333333,5902.857142857143,5785.714285714285,1,1
Farmer,Garut,3,Farmer Data,4,2000.0,2000000.0,700000.0,200000.0,2600000.0,260000.0,690000.0,14850000.0,,,,,,,,,,,,,,6450000.0,14850000.0,3390000.0,2000.0,,upstream production,8400000.0,2.302325581395349,0.43434343434343436,0.5656565656565656,0.22828282828282828,3225.0,7425.0,0,0
Farmer,Garut,4,Farmer Data,5,1000.0,1800000.0,800000.0,230000.0,1300000.0,100000.0,340000.0,13050000.0,,,,,,,,,,,,,,4570000.0,13050000.0,2940000.0,1000.0,,upstream production,8480000.0,2.8555798687089715,0.35019157088122604,0.6498084291187739,0.22528735632183908,4570.0,13050.0,0,0
Farmer,Garut,5,Farmer Data,6,800.0,1520000.0,580000.0,184000.0,1040000.0,104000.0,350000.0,10200000.0,,,,,,,,,,,,,,3778000.0,10200000.0,2450000.0,800.0,,upstream production,6422000.0,2.6998411858125992,0.3703921568627451,0.6296078431372549,0.24019607843137256,4722.5,12750.0,0,0
Farmer,Garut,6,Farmer Data,7,800.0,1400000.0,550000.0,184000.0,1040000.0,104000.0,350000.0,3600000.0,,,,,,,,,,,,,,3628000.0,3600000.0,2300000.0,800.0,,upstream production,-28000.0,0.9922822491730982,1.0077777777777779,-0.0077777777777777776,0.6388888888888888,4535.0,4500.0,1,1
Farmer,Garut,7,Farmer Data,8,1000.0,400000.0,500000.0,230000.0,1300000.0,180000.0,490000.0,8100000.0,,,,,,,,,,,,,,3100000.0,8100000.0,1390000.0,1000.0,,upstream production,5000000.0,2.6129032258064515,0.38271604938271603,0.6172839506172839,0.17160493827160495,3100.0,8100.0,0,0
Farmer,Garut,8,Farmer Data,9,1400.0,700000.0,500000.0,322000.0,1820000.0,182000.0,470000.0,7850000.0,,,,,,,,,,,,,,3994000.0,7850000.0,1670000.0,1400.0,,upstream production,3856000.0,1.9654481722583876,0.5087898089171975,0.49121019108280256,0.21273885350318472,2852.8571428571427,5607.142857142857,0,0
Farmer,Garut,9,Farmer Data,10,5000.0,3500000.0,1200000.0,1150000.0,6500000.0,650000.0,690000.0,29700000.0,,,,,,,,,,,,,,13690000.0,29700000.0,5390000.0,5000.0,,upstream production,16010000.0,2.1694667640613585,0.46094276094276093,0.539057239057239,0.1814814814814815,2738.0,5940.0,0,0
Farmer,Garut,10,Farmer Data,11,2800.0,5040000.0,1150000.0,644000.0,3640000.0,364000.0,750000.0,36450000.0,,,,,,,,,,,,,,11588000.0,36450000.0,6940000.0,2800.0,,upstream production,24862000.0,3.145495340006904,0.3179149519890261,0.6820850480109739,0.19039780521262004,4138.571428571428,13017.857142857143,0,0
Farmer,Garut,11,Farmer Data,12,1000.0,1900000.0,1180000.0,230000.0,1300000.0,130000.0,390000.0,13050000.0,,,,,,,,,,,,,,5130000.0,13050000.0,3470000.0,1000.0,,upstream production,7920000.0,2.543859649122807,0.3931034482758621,0.6068965517241379,0.26590038314176245,5130.0,13050.0,0,0
Farmer,Garut,12,Farmer Data,13,3000.0,1800000.0,850000.0,690000.0,3900000.0,390000.0,790000.0,28200000.0,,,,,,,,,,,,,,8420000.0,28200000.0,3440000.0,3000.0,,upstream production,19780000.0,3.34916864608076,0.29858156028368793,0.701418439716312,0.12198581560283688,2806.6666666666665,9400.0,0,0
Farmer,Garut,13,Farmer Data,14,1400.0,980000.0,800000.0,322000.0,1820000.0,182000.0,330000.0,9400000.0,,,,,,,,,,,,,,4434000.0,9400000.0,2110000.0,1400.0,,upstream production,4966000.0,2.119981957600361,0.4717021276595745,0.5282978723404256,0.22446808510638297,3167.1428571428573,6714.285714285715,0,0
Farmer,Garut,14,Farmer Data,15,230.0,402500.0,120000.0,52900.0,391000.0,69000.0,420000.0,2100000.0,,,,,,,,,,,,,,1455400.0,2100000.0,942500.0,230.0,,upstream production,644600.0,1.4429022949017452,0.693047619047619,0.306952380952381,0.4488095238095238,6327.826086956522,9130.434782608696,0,0
