actor,region,n_x,median_vulnerability_score,mean_vulnerability_score,high_vulnerability_share,median_rc,negative_margin_share,flood_risk_label,n_y,mean_flood_probability,median_flood_probability,mean_pressure,hazard_score,flood_logistics_priority_score,priority_label
Retail,Indramayu,16,0.8081790319444621,0.8018305302475748,100.0,0.47293670319838965,100.0,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.2666990805416725,Moderate Priority
Retail,Tasikmalaya,28,0.8018549105330787,0.8043359611233335,100.0,0.4955836128928828,100.0,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.264612120475916,Moderate Priority
Retail,Karawang,16,0.7944989058152494,0.7994174029694746,100.0,0.49424232122901046,100.0,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.2621846389190323,Moderate Priority
Retail,Subang,19,0.7917760543830493,0.7833704398303315,94.73684210526315,0.5769230769230769,94.73684210526315,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.2612860979464063,Moderate Priority
Retail,Garut,23,0.7638764805121575,0.7312131702604334,91.30434782608695,0.5737704918032787,91.30434782608695,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.252079238569012,Moderate Priority
Wholesaler,Garut,25,0.7466194314074682,0.6603574680808574,72.0,0.9263157894736842,72.0,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.24638441236446454,Moderate Priority
Wholesaler,Karawang,14,0.7269720558926281,0.5874048911373606,57.14285714285714,0.9822911796596008,57.14285714285714,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.2399007784445673,Monitoring Priority
Rice Miller,Karawang,14,0.7220322803777846,0.6651659245118486,71.42857142857143,0.9396008230666616,71.42857142857143,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.23827065252466892,Monitoring Priority
Middlemen,Tasikmalaya,29,0.7217248439200352,0.6905677764147836,79.3103448275862,0.7715538236726741,79.3103448275862,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.23816919849361162,Monitoring Priority
Middlemen,Garut,24,0.7059728896751795,0.699413606549601,91.66666666666666,0.7364995830630965,91.66666666666666,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.23297105359280923,Monitoring Priority
Middlemen,Indramayu,16,0.6738294333363596,0.4684161297583363,56.25,0.9196469087821688,56.25,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.22236371300099866,Monitoring Priority
Middlemen,Karawang,14,0.6056931317366535,0.5678696431687119,50.0,0.9835763528765786,50.0,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.19987873347309568,Monitoring Priority
Middlemen,Subang,21,0.4963104672376959,0.49192882387449105,42.857142857142854,1.0841291496134606,42.857142857142854,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.16378245418843965,Monitoring Priority
Rice Miller,Tasikmalaya,29,0.4395166429635765,0.4755710211038437,27.586206896551722,1.076032065116006,27.586206896551722,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.14504049217798026,Monitoring Priority
Rice Miller,Indramayu,17,0.4385695174375655,0.4179921479863691,11.76470588235294,1.119116859735619,11.76470588235294,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.14472794075439663,Monitoring Priority
