model,cv_protocol,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,train_r2_mean,generalization_gap_r2,n_train_rows_used_in_cv,is_optional_booster
Ridge,5-fold KFold on training partition,2.2429347564903097e-06,1.9814750427517158e-08,2.811193028348273e-06,2.273148428353425e-08,0.9999999968467181,1.7507399869230575e-11,0.9999999968504584,3.74023034765969e-12,40000,False
ElasticNet,5-fold KFold on training partition,0.0001014316875251602,8.960731889556023e-07,0.00012712989414115735,1.0279723714840226e-06,0.9999935512306113,3.580402837182844e-08,0.9999935588799144,7.649303079837466e-09,40000,False
Lasso,5-fold KFold on training partition,0.00047851977277872096,4.227480059368063e-06,0.0005997550400136201,4.8497753341619995e-06,0.9998564744275196,7.969315481497602e-07,0.9998566446881828,1.7026066323477806e-07,40000,False
CatBoost,5-fold KFold on training partition,0.021127686619394646,0.00011994604807558672,0.0267054262981885,0.00012514539361315567,0.715424580728009,0.0018390407788348466,0.7220981450840043,0.0066735643559953095,40000,True
LightGBM,5-fold KFold on training partition,0.021547512574594703,0.0001384915566222221,0.027357779402681047,0.00013389617297671197,0.7013504188988182,0.0022460841970906487,0.7519912942290635,0.050640875330245305,40000,True
Random Forest,5-fold KFold on training partition,0.021863326207530807,0.00019778251425364024,0.02765471505905215,0.00019275746062911406,0.6948324272932809,0.003124119688128884,0.9151201235886608,0.22028769629537992,40000,False
Extra Trees,5-fold KFold on training partition,0.022026972659632042,0.00016824792826527856,0.02786052190766023,0.0001324335652944869,0.6902673948846578,0.0031099370053888423,0.9648629083375949,0.2745955134529371,40000,False
Hist Gradient Boosting,5-fold KFold on training partition,0.022816842855035428,0.00010593880515286536,0.028927935202847505,9.968374093198488e-05,0.6660809437319827,0.0027395023014181014,0.714076514836006,0.047995571104023305,40000,False
XGBoost,5-fold KFold on training partition,0.026513966802865267,0.00017133437520892844,0.03337715369388501,0.00017432236138850902,0.5554831196518695,0.0006507045141759501,0.588394260722392,0.03291114107052251,40000,True
Dummy Mean,5-fold KFold on training partition,0.039934047656250006,0.0002457076980243451,0.05006577159033236,0.00026673798586205596,-0.00016291244879420574,0.00024465073245834486,0.0,0.00016291244879420574,40000,False
