feature,importance
margin_ratio,0.06665385696789868
cost_revenue_ratio,0.019562697452355594
margin,0.01628109085411015
labor_cost_idr,0.01077811699080351
production_value_idr,0.01077811699080351
land_lease_value_idr,0.01077811699080351
output_value,0.009580548436269787
operational_burden_ratio,0.009580548436269787
output_per_quantity_proxy,0.008382979881736063
seed_purchase_value_idr,0.00718541132720234
actor,0.00718541132720234
total_cost,0.004790274218134894
quantity_proxy,0.002395137109067447
supporting_equipment_cost_idr,0.002395137109067447
building_rent_cost_idr,0.002395137109067447
land_area_m2,0.0
total_rice_purchase_idr,0.0
cost_per_quantity_proxy,0.0
operational_cost,0.0
value_of_rice_purchase_idr,0.0
precipitation_quality_pct,0.0
total_precipitation_pct,0.0
value_of_rice_sold_idr,0.0
total_rice_purchase_kg,0.0
fertilizer_purchase_value_idr,0.0
total_revenue_of_milling_machine_idr,0.0
nilaiberashasilgiling,0.0
amount_of_milled_rice_kg,0.0
region,0.0
number_of_machines,0.0
precipitation_stress_raw,0.0
equipment_rent_value_idr,0.0
pesticide_purchase_value_idr,0.0
value_of_milled_grains_idr,0.0
