flood_scenario,region,region_key,actor,n_units,fail_share,survive_share,median_stressed_margin,median_stressed_cost_revenue_ratio,median_combined_buffer,dominant_stress_risk_label,dominant_predicted_vulnerability_label,median_historical_flood_exposure_score,median_effective_cost_shock_pct,stress_priority_signal
High,Garut,GARUT,Farmer,98,0.30612244897959184,0.6938775510204082,4892188.492261836,0.5473558983123954,0.5827598763919518,Survives Scenario,Low Vulnerability,0.3949554339103519,0.3118486630173105,Watch
High,Garut,GARUT,Middlemen,24,1.0,0.0,-25266182.013248023,1.7811942299536083,-0.35777417027417024,Already Failed,High Vulnerability,0.3949554339103519,0.3118486630173105,Severe
High,Garut,GARUT,Retail,23,1.0,0.0,-4448484.932756792,2.286364812687313,-0.7428571428571429,Already Failed,High Vulnerability,0.3949554339103519,0.3118486630173105,Severe
High,Garut,GARUT,Rice Miller,24,0.6666666666666666,0.3333333333333333,-5552166.390894102,1.094476287976561,0.1656992770345805,Already Failed,Low Vulnerability,0.3949554339103519,0.3118486630173105,High
High,Garut,GARUT,Wholesaler,25,0.92,0.08,-28328749.40416141,1.4162002612118691,-0.07954545454545454,Already Failed,High Vulnerability,0.3949554339103519,0.3118486630173105,Severe
High,Indramayu,INDRAMAYU,Farmer,62,0.1774193548387097,0.8225806451612904,9949810.837237762,0.7343226497476381,0.4358646176588101,Survives Scenario,Low Vulnerability,0.0559353146853146,0.3016780594405594,Manageable
High,Indramayu,INDRAMAYU,Middlemen,16,0.8125,0.1875,-37761290.867592596,1.4155498337014292,-0.08748075104669877,Already Failed,High Vulnerability,0.0559353146853146,0.3016780594405594,Severe
High,Indramayu,INDRAMAYU,Retail,16,1.0,0.0,-4703986.567263987,2.752398256687063,-1.1145,Already Failed,High Vulnerability,0.0559353146853146,0.3016780594405594,Severe
High,Indramayu,INDRAMAYU,Rice Miller,17,0.8823529411764706,0.11764705882352941,-47459233.00501597,1.163129701886601,0.10643826754943103,Critical Under High Stress,Low Vulnerability,0.0559353146853146,0.3016780594405594,Severe
High,Indramayu,INDRAMAYU,Wholesaler,16,0.6875,0.3125,-34126040.77797204,1.0766784049741296,0.17285353535353537,Critical Under High Stress,Low Vulnerability,0.0559353146853146,0.3016780594405594,High
