region,region_key,actor,flood_scenario,n_units,lhs_mean_failure_probability,lhs_median_failure_probability,lhs_p75_failure_probability,lhs_expected_stressed_margin,lhs_p05_stressed_margin,lhs_p50_stressed_margin,lhs_p95_stressed_margin,historical_flood_exposure_score,historical_flood_exposure_level,dominant_lhs_risk_label
Garut,GARUT,Farmer,High,98,0.35744897959183675,0.0,1.0,4009568.088442824,2608338.158227413,3362182.7559671463,4002903.591544207,0.3949554339103519,Medium,Low
Garut,GARUT,Farmer,Low,98,0.21737244897959182,0.0,0.0,8844563.245948358,5337596.454212262,5499171.089682592,5732873.088848783,0.3949554339103519,Medium,Low
Garut,GARUT,Farmer,Medium,98,0.28875,0.0,0.9212499999999999,6949713.521239866,4325094.331794116,4642916.456090974,4943275.881458401,0.3949554339103519,Medium,Low
Garut,GARUT,Middlemen,High,24,1.0,1.0,1.0,-28577945.396994486,-35129739.38566804,-31043950.950324975,-26620183.9435703,0.3949554339103519,Medium,Critical
Garut,GARUT,Middlemen,Low,24,1.0,1.0,1.0,-11248205.403785085,-11528963.741927527,-10527502.74558428,-9824601.050065737,0.3949554339103519,Medium,Critical
Garut,GARUT,Middlemen,Medium,24,1.0,1.0,1.0,-18098617.674146384,-23879988.38015601,-19546958.775414433,-16514383.77395735,0.3949554339103519,Medium,Critical
Garut,GARUT,Retail,High,23,1.0,1.0,1.0,-4276974.12835195,-5486310.3051994825,-4858349.566586402,-4238321.870191811,0.3949554339103519,Medium,Critical
Garut,GARUT,Retail,Low,23,0.9940217391304348,1.0,1.0,-2464189.1208997555,-3158362.891200964,-3029110.9509649966,-2894432.8931917087,0.3949554339103519,Medium,Critical
Garut,GARUT,Retail,Medium,23,1.0,1.0,1.0,-3182543.226548298,-4091234.9811540744,-3837556.675257148,-3521902.5175001,0.3949554339103519,Medium,Critical
Garut,GARUT,Rice Miller,High,24,0.9503125,1.0,1.0,-31378012.2306163,-19807412.144904017,-14696230.737928662,-5849926.37091413,0.3949554339103519,Medium,Critical
Garut,GARUT,Rice Miller,Low,24,0.4339583333333333,0.0,1.0,16746907.548926516,4720468.752578869,6161046.560004615,7540811.8343986645,0.3949554339103519,Medium,Low
Garut,GARUT,Rice Miller,Medium,24,0.5750000000000001,0.8200000000000001,1.0,-2211050.0651422148,-5142112.777325178,-3715620.2299275696,895735.4383817997,0.3949554339103519,Medium,Critical
Garut,GARUT,Wholesaler,High,25,0.9237000000000001,1.0,1.0,-72878763.858494,-56122402.19139995,-44146176.50989363,-32507379.24986482,0.3949554339103519,Medium,Critical
Garut,GARUT,Wholesaler,Low,25,0.8065000000000001,1.0,1.0,-23152082.326362252,-14735447.210806591,-13018858.158923704,-12108121.19334181,0.3949554339103519,Medium,Critical
Garut,GARUT,Wholesaler,Medium,25,0.9061,1.0,1.0,-42796443.826172225,-26358306.69950218,-22700183.4716848,-18892992.91315789,0.3949554339103519,Medium,Critical
Indramayu,INDRAMAYU,Farmer,High,62,0.3437096774193548,0.025,0.89875,9662204.741950631,1076568.1113325022,4081171.4911000533,6657326.2898888495,0.0559353146853146,Low,Low
Indramayu,INDRAMAYU,Farmer,Low,62,0.11221774193548387,0.0,0.0,24118842.101402503,14839428.525897294,15813975.540249014,16537038.359985754,0.0559353146853146,Low,Low
Indramayu,INDRAMAYU,Farmer,Medium,62,0.1577016129032258,0.0,0.0,18448837.216669526,8697307.436507331,9889936.480285674,12464487.894777857,0.0559353146853146,Low,Low
Indramayu,INDRAMAYU,Middlemen,High,16,0.9496875,1.0,1.0,-59806585.23032403,-63223333.142332055,-52235433.97033057,-40951593.790127255,0.0559353146853146,Low,Critical
Indramayu,INDRAMAYU,Middlemen,Low,16,0.59046875,1.0,1.0,4621406.476540432,-18262534.19197717,-13143492.536746891,-11250491.107164051,0.0559353146853146,Low,Critical
Indramayu,INDRAMAYU,Middlemen,Medium,16,0.72609375,1.0,1.0,-20784052.69581731,-35724718.29372176,-30095927.899215303,-25111187.71613884,0.0559353146853146,Low,Critical
Indramayu,INDRAMAYU,Retail,High,16,1.0,1.0,1.0,-5150946.617260152,-5809167.830495372,-5213073.785673164,-4565019.0480994545,0.0559353146853146,Low,Critical
Indramayu,INDRAMAYU,Retail,Low,16,1.0,1.0,1.0,-3344837.1681667776,-3487257.776544693,-3371510.8501411323,-3255284.1418378064,0.0559353146853146,Low,Critical
Indramayu,INDRAMAYU,Retail,Medium,16,1.0,1.0,1.0,-4061631.9139410667,-4341959.986767992,-4059667.324305674,-3785721.473730183,0.0559353146853146,Low,Critical
Indramayu,INDRAMAYU,Rice Miller,High,17,0.9660294117647058,1.0,1.0,-207433647.77310362,-190302997.98508507,-114692807.42942017,-71506286.77356969,0.0559353146853146,Low,Critical
Indramayu,INDRAMAYU,Rice Miller,Low,17,0.4661764705882353,0.01,1.0,163353189.14999658,1775212.7431192265,5973674.400346711,9949597.948098512,0.0559353146853146,Low,Low
Indramayu,INDRAMAYU,Rice Miller,Medium,17,0.8144117647058824,1.0,1.0,17324502.30921336,-48481151.116687976,-20457431.32325436,-11385301.279165985,0.0559353146853146,Low,Critical
Indramayu,INDRAMAYU,Wholesaler,High,16,0.75375,1.0,1.0,-60038541.15695828,-83556569.98364332,-63414803.174757876,-43711129.88940272,0.0559353146853146,Low,Critical
Indramayu,INDRAMAYU,Wholesaler,Low,16,0.11171875,0.0,0.0,629389742.5376611,121734232.12412325,156744470.30728346,190268320.3424526,0.0559353146853146,Low,Low
Indramayu,INDRAMAYU,Wholesaler,Medium,16,0.57421875,0.8525,0.984375,358300533.7323047,-33461604.0102553,-9939552.305847518,26884504.433963425,0.0559353146853146,Low,Critical
Karawang,KARAWANG,Farmer,High,53,0.24726415094339624,0.0,0.7,17700927.72214688,7989948.048937903,14315148.923528705,20410339.135178275,1.0,High,Low
Karawang,KARAWANG,Farmer,Low,53,0.09433962264150944,0.0,0.0,48201324.4749287,38173982.82626886,39612944.17885652,41092475.66404353,1.0,High,Low
Karawang,KARAWANG,Farmer,Medium,53,0.10287735849056603,0.0,0.0,36242091.01732925,24344259.52810375,27607480.40727182,33994111.521418355,1.0,High,Low
Karawang,KARAWANG,Middlemen,High,14,1.0,1.0,1.0,-40742482.260345735,-44683216.53500764,-35947972.55852006,-27208341.383297823,1.0,High,Critical
Karawang,KARAWANG,Middlemen,Low,14,0.77625,1.0,1.0,-4470485.640761933,-6297052.256769343,-4296355.853902185,-2765570.0577694164,1.0,High,Critical
Karawang,KARAWANG,Middlemen,Medium,14,1.0,1.0,1.0,-18782355.573541608,-22119051.88094812,-16824058.062880505,-11993199.988185108,1.0,High,Critical
Karawang,KARAWANG,Retail,High,16,1.0,1.0,1.0,-5335667.407084157,-6213455.118544109,-5559814.910844201,-4846001.153505484,1.0,High,Critical
Karawang,KARAWANG,Retail,Low,16,1.0,1.0,1.0,-3343173.1272636023,-3636761.75790181,-3505309.778681729,-3367176.5224354956,1.0,High,Critical
