flood_scenario,actor,ablation_scenario,mean_delta_failure_probability,mean_absolute_delta_failure_probability,full_failure_probability,ablated_failure_probability
High,Farmer,All stress drivers neutralized,0.18818125,0.18818125,0.28318125,0.095
High,Farmer,No cost shock,0.1446875,0.1446875,0.28318125,0.13849375
High,Farmer,No exposure modifier,0.005687500000000001,0.005687500000000001,0.28318125,0.27749375
High,Farmer,No revenue shock,0.1049375,0.1049375,0.28318125,0.17824375
High,Middlemen,All stress drivers neutralized,0.3005048076923077,0.3005048076923077,0.9735817307692307,0.6730769230769231
High,Middlemen,No cost shock,0.09173076923076923,0.09173076923076923,0.9735817307692307,0.8818509615384615
High,Middlemen,No exposure modifier,0.0017788461538461536,0.0017788461538461536,0.9735817307692307,0.9718028846153846
High,Middlemen,No revenue shock,0.03956730769230769,0.03956730769230769,0.9735817307692307,0.9340144230769231
High,Retail,All stress drivers neutralized,0.029411764705882353,0.029411764705882353,1.0,0.9705882352941176
High,Retail,No cost shock,0.0,0.0,1.0,1.0
High,Retail,No exposure modifier,0.0,0.0,1.0,1.0
High,Retail,No revenue shock,0.0,0.0,1.0,1.0
High,Rice Miller,All stress drivers neutralized,0.6476904761904761,0.6476904761904761,0.9714999999999999,0.3238095238095238
High,Rice Miller,No cost shock,0.33714285714285713,0.33714285714285713,0.9714999999999999,0.6343571428571428
High,Rice Miller,No exposure modifier,0.006642857142857144,0.006642857142857144,0.9714999999999999,0.9648571428571429
High,Rice Miller,No revenue shock,0.20497619047619048,0.20497619047619048,0.9714999999999999,0.7665238095238095
High,Wholesaler,All stress drivers neutralized,0.36444078947368425,0.36444078947368425,0.7460197368421052,0.3815789473684211
High,Wholesaler,No cost shock,0.19325657894736842,0.19325657894736842,0.7460197368421052,0.5527631578947368
High,Wholesaler,No exposure modifier,0.007236842105263157,0.007236842105263157,0.7460197368421052,0.7387828947368421
High,Wholesaler,No revenue shock,0.10582236842105264,0.10582236842105264,0.7460197368421052,0.6401973684210527
Low,Farmer,All stress drivers neutralized,0.01855625,0.01855625,0.11355625,0.095
Low,Farmer,No cost shock,0.00866875,0.00866875,0.11355625,0.1048875
Low,Farmer,No exposure modifier,0.0004250000000000002,0.0004250000000000002,0.11355625,0.11313124999999999
Low,Farmer,No revenue shock,0.006943749999999999,0.006943749999999999,0.11355625,0.10661250000000001
Low,Middlemen,All stress drivers neutralized,0.12372596153846153,0.12372596153846153,0.7968028846153847,0.6730769230769231
Low,Middlemen,No cost shock,0.04242788461538461,0.04242788461538461,0.7968028846153847,0.754375
Low,Middlemen,No exposure modifier,0.0033173076923076928,0.0033173076923076928,0.7968028846153847,0.7934855769230769
Low,Middlemen,No revenue shock,0.026754807692307696,0.026754807692307696,0.7968028846153847,0.7700480769230769
Low,Retail,All stress drivers neutralized,0.02799019607843137,0.02799019607843137,0.9985784313725491,0.9705882352941176
Low,Retail,No cost shock,0.010514705882352942,0.010514705882352942,0.9985784313725491,0.988063725490196
Low,Retail,No exposure modifier,0.0004166666666666665,0.0004166666666666665,0.9985784313725491,0.9981617647058824
Low,Retail,No revenue shock,0.007181372549019607,0.007181372549019607,0.9985784313725491,0.9913970588235295
Low,Rice Miller,All stress drivers neutralized,0.1564047619047619,0.1564047619047619,0.4802142857142857,0.3238095238095238
