region,region_key,actor,flood_scenario,n_units,lhs_mean_failure_probability,lhs_median_failure_probability,lhs_p75_failure_probability,lhs_expected_stressed_margin,lhs_p05_stressed_margin,lhs_p50_stressed_margin,lhs_p95_stressed_margin,historical_flood_exposure_score,historical_flood_exposure_level,dominant_lhs_risk_label
Karawang,KARAWANG,Middlemen,High,14,1.0,1.0,1.0,-40742482.260345735,-44683216.53500764,-35947972.55852006,-27208341.383297823,1.0,High,Critical
Karawang,KARAWANG,Retail,High,16,1.0,1.0,1.0,-5335667.407084157,-6213455.118544109,-5559814.910844201,-4846001.153505484,1.0,High,Critical
Karawang,KARAWANG,Rice Miller,High,14,1.0,1.0,1.0,-83143575.23361143,-67672812.58638532,-54124463.42885622,-40621352.77473688,1.0,High,Critical
Garut,GARUT,Middlemen,High,24,1.0,1.0,1.0,-28577945.396994486,-35129739.38566804,-31043950.950324975,-26620183.9435703,0.3949554339103519,Medium,Critical
Garut,GARUT,Retail,High,23,1.0,1.0,1.0,-4276974.12835195,-5486310.3051994825,-4858349.566586402,-4238321.870191811,0.3949554339103519,Medium,Critical
Subang,SUBANG,Retail,High,19,1.0,1.0,1.0,-3923992.9491202347,-5082222.997153336,-4608668.634135993,-4101501.1849827813,0.3641466525278,Medium,Critical
Indramayu,INDRAMAYU,Retail,High,16,1.0,1.0,1.0,-5150946.617260152,-5809167.830495372,-5213073.785673164,-4565019.0480994545,0.0559353146853146,Low,Critical
Tasikmalaya,TASIKMALAYA,Middlemen,High,29,1.0,1.0,1.0,-32249559.042647567,-31026291.56050583,-26919532.219563898,-21236063.337251343,0.0065573770491803,Low,Critical
Tasikmalaya,TASIKMALAYA,Retail,High,28,1.0,1.0,1.0,-5271067.648962705,-5972071.39276771,-5374457.786658181,-4722274.235714462,0.0065573770491803,Low,Critical
Tasikmalaya,TASIKMALAYA,Rice Miller,High,29,0.9982758620689655,1.0,1.0,-42109865.101786345,-19002891.495846063,-15036787.190827014,-9904763.288558396,0.0065573770491803,Low,Critical
Indramayu,INDRAMAYU,Rice Miller,High,17,0.9660294117647058,1.0,1.0,-207433647.77310362,-190302997.98508507,-114692807.42942017,-71506286.77356969,0.0559353146853146,Low,Critical
Garut,GARUT,Rice Miller,High,24,0.9503125,1.0,1.0,-31378012.2306163,-19807412.144904017,-14696230.737928662,-5849926.37091413,0.3949554339103519,Medium,Critical
Indramayu,INDRAMAYU,Middlemen,High,16,0.9496875,1.0,1.0,-59806585.23032403,-63223333.142332055,-52235433.97033057,-40951593.790127255,0.0559353146853146,Low,Critical
Subang,SUBANG,Rice Miller,High,21,0.9375,1.0,1.0,-46439882.22273127,-75170535.25045426,-38449656.213289455,-21958137.791753992,0.3641466525278,Medium,Critical
Garut,GARUT,Wholesaler,High,25,0.9237000000000001,1.0,1.0,-72878763.858494,-56122402.19139995,-44146176.50989363,-32507379.24986482,0.3949554339103519,Medium,Critical
Subang,SUBANG,Middlemen,High,21,0.9083333333333333,1.0,1.0,-46551727.154793546,-58019842.804932766,-45748749.14829471,-31720785.026788242,0.3641466525278,Medium,Critical
Karawang,KARAWANG,Wholesaler,High,14,0.8646428571428572,1.0,1.0,-83458724.88809367,-129283967.3661837,-103503674.96383914,-77264686.97565031,1.0,High,Critical
Indramayu,INDRAMAYU,Wholesaler,High,16,0.75375,1.0,1.0,-60038541.15695828,-83556569.98364332,-63414803.174757876,-43711129.88940272,0.0559353146853146,Low,Critical
Subang,SUBANG,Wholesaler,High,21,0.4508333333333333,0.3675,0.9775,2364822.0001804708,-14352344.979760978,10000581.583796442,22581538.74382982,0.3641466525278,Medium,Low
Garut,GARUT,Farmer,High,98,0.35744897959183675,0.0,1.0,4009568.088442824,2608338.158227413,3362182.7559671463,4002903.591544207,0.3949554339103519,Medium,Low
Indramayu,INDRAMAYU,Farmer,High,62,0.3437096774193548,0.025,0.89875,9662204.741950631,1076568.1113325022,4081171.4911000533,6657326.2898888495,0.0559353146853146,Low,Low
Subang,SUBANG,Farmer,High,77,0.2850649350649351,0.0,0.85,6609906.26385055,1834195.7483052642,3668729.488594119,5432281.485950109,0.3641466525278,Medium,Low
Karawang,KARAWANG,Farmer,High,53,0.24726415094339624,0.0,0.7,17700927.72214688,7989948.048937903,14315148.923528705,20410339.135178275,1.0,High,Low
Tasikmalaya,TASIKMALAYA,Farmer,High,110,0.1960909090909091,0.0,0.2375,6808585.852480427,1683369.6800311853,2813570.744540788,3926800.212326671,0.0065573770491803,Low,Low
