iteration,rank,unit,region,actor,score
0,1,Karawang — Retail,Karawang,Retail,1.0
0,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9909364326232516
0,3,Karawang — Wholesaler,Karawang,Wholesaler,0.949284417550493
0,4,Garut — Retail,Garut,Retail,0.9347348035037043
0,5,Subang — Retail,Subang,Retail,0.9314115091821985
0,6,Garut — Middlemen,Garut,Middlemen,0.9286924252525387
0,7,Garut — Wholesaler,Garut,Wholesaler,0.9008740848500415
0,8,Subang — Middlemen,Subang,Middlemen,0.8992075337636403
0,9,Indramayu — Retail,Indramayu,Retail,0.8981652416275939
0,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.8928389219099707
1,1,Karawang — Retail,Karawang,Retail,1.0
1,2,Karawang — Rice Miller,Karawang,Rice Miller,0.992513481279909
1,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9585230488610285
1,4,Garut — Retail,Garut,Retail,0.9470602579481353
1,5,Subang — Retail,Subang,Retail,0.9443645739758526
1,6,Garut — Middlemen,Garut,Middlemen,0.9420692454680746
1,7,Garut — Wholesaler,Garut,Wholesaler,0.919324734231155
1,8,Subang — Middlemen,Subang,Middlemen,0.9180445437669311
1,9,Indramayu — Retail,Indramayu,Retail,0.9173969262399274
1,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.9130764919644749
2,1,Karawang — Retail,Karawang,Retail,1.0000000000000002
2,2,Karawang — Rice Miller,Karawang,Rice Miller,0.99322248334974
2,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9597569681074787
2,4,Garut — Retail,Garut,Retail,0.930822114200398
2,5,Subang — Retail,Subang,Retail,0.9272995863081446
2,6,Garut — Middlemen,Garut,Middlemen,0.9263037697668912
2,7,Garut — Wholesaler,Garut,Wholesaler,0.9041945991487682
2,8,Subang — Middlemen,Subang,Middlemen,0.901647658647161
2,9,Indramayu — Retail,Indramayu,Retail,0.892060184243585
2,10,Karawang — Middlemen,Karawang,Middlemen,0.8888828188206692
3,1,Karawang — Retail,Karawang,Retail,0.9999999999999998
3,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9934256226540962
3,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9590989014752846
3,4,Garut — Retail,Garut,Retail,0.9326427973610599
3,5,Subang — Retail,Subang,Retail,0.929212978390773
3,6,Garut — Middlemen,Garut,Middlemen,0.9282598791304575
3,7,Garut — Wholesaler,Garut,Wholesaler,0.9057625086907566
3,8,Subang — Middlemen,Subang,Middlemen,0.9030673936791654
3,9,Indramayu — Retail,Indramayu,Retail,0.8949010372508882
3,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.889403988045496
4,1,Karawang — Retail,Karawang,Retail,1.0
4,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9930738238647848
4,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9630260609357428
4,4,Garut — Retail,Garut,Retail,0.9326415181995334
4,5,Subang — Retail,Subang,Retail,0.9292116340945273
4,6,Garut — Middlemen,Garut,Middlemen,0.9280240674427234
4,7,Garut — Wholesaler,Garut,Wholesaler,0.9077702895557864
4,8,Subang — Middlemen,Subang,Middlemen,0.9058087313465207
4,9,Indramayu — Retail,Indramayu,Retail,0.8948990413463025
4,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.8894018877480082
5,1,Karawang — Retail,Karawang,Retail,1.0000000000000002
5,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9909364001186696
5,3,Karawang — Wholesaler,Karawang,Wholesaler,0.95874961494222
5,4,Garut — Retail,Garut,Retail,0.9269376942212031
5,5,Subang — Retail,Subang,Retail,0.923217372228078
5,6,Garut — Middlemen,Garut,Middlemen,0.9208952943003159
5,7,Garut — Wholesaler,Garut,Wholesaler,0.8984124309874828
5,8,Subang — Middlemen,Subang,Middlemen,0.8974234326270459
5,9,Karawang — Middlemen,Karawang,Middlemen,0.8925319905128213
5,10,Indramayu — Retail,Indramayu,Retail,0.8859992361236982
6,1,Karawang — Retail,Karawang,Retail,0.9999999999999999
6,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9912078505158168
6,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9530259579425489
6,4,Garut — Retail,Garut,Retail,0.9353149208331818
6,5,Subang — Retail,Subang,Retail,0.9320211660017925
6,6,Garut — Middlemen,Garut,Middlemen,0.9294534878437265
6,7,Garut — Wholesaler,Garut,Wholesaler,0.9037211808241409
6,8,Subang — Middlemen,Subang,Middlemen,0.9022869048852694
6,9,Indramayu — Retail,Indramayu,Retail,0.8990704117833038
6,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.8937914356812124
7,1,Karawang — Retail,Karawang,Retail,1.0
7,2,Karawang — Rice Miller,Karawang,Rice Miller,0.994303643988318
7,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9611890399759762
7,4,Garut — Retail,Garut,Retail,0.9470732221965391
7,5,Subang — Retail,Subang,Retail,0.9443781983619013
7,6,Garut — Middlemen,Garut,Middlemen,0.9432756515220845
7,7,Garut — Wholesaler,Garut,Wholesaler,0.9218819132968344
7,8,Subang — Middlemen,Subang,Middlemen,0.9194406273533761
7,9,Indramayu — Retail,Indramayu,Retail,0.9174171546491648
7,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.913097778391394
8,1,Karawang — Retail,Karawang,Retail,0.9999999999999999
8,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9935692326917253
8,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9527673740541006
8,4,Garut — Retail,Garut,Retail,0.9377873152557518
8,5,Subang — Retail,Subang,Retail,0.934619454389081
8,6,Garut — Middlemen,Garut,Middlemen,0.9335001370502354
8,7,Garut — Wholesaler,Garut,Wholesaler,0.9074215269095504
8,8,Subang — Middlemen,Subang,Middlemen,0.9041520936489584
8,9,Indramayu — Retail,Indramayu,Retail,0.9029281445741335
8,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.8978509416048851
9,1,Karawang — Retail,Karawang,Retail,1.0000000000000002
9,2,Karawang — Rice Miller,Karawang,Rice Miller,0.991607212709005
9,3,Karawang — Wholesaler,Karawang,Wholesaler,0.958299744523208
9,4,Garut — Retail,Garut,Retail,0.9229012863127777
9,5,Subang — Retail,Subang,Retail,0.9189754310155108
9,6,Garut — Middlemen,Garut,Middlemen,0.9173060947854477
9,7,Garut — Wholesaler,Garut,Wholesaler,0.8945126733260218
9,8,Subang — Middlemen,Subang,Middlemen,0.8927183206095162
9,9,Indramayu — Retail,Indramayu,Retail,0.879701137809227
9,10,Karawang — Middlemen,Karawang,Middlemen,0.8782663244210577
10,1,Karawang — Retail,Karawang,Retail,0.9999999999999999
10,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9925729654638411
10,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9587635519739102
10,4,Garut — Retail,Garut,Retail,0.9390927233349985
10,5,Subang — Retail,Subang,Retail,0.9359913336580261
10,6,Garut — Middlemen,Garut,Middlemen,0.9341413669775593
10,7,Garut — Wholesaler,Garut,Wholesaler,0.9115273741771459
10,8,Subang — Middlemen,Subang,Middlemen,0.9098201213730295
10,9,Indramayu — Retail,Indramayu,Retail,0.9049650022481163
10,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.8999943341728895
11,1,Karawang — Retail,Karawang,Retail,1.0
11,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9927726778898326
11,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9616406140717147
11,4,Garut — Retail,Garut,Retail,0.9471259205837572
11,5,Subang — Retail,Subang,Retail,0.9444335801433386
11,6,Garut — Middlemen,Garut,Middlemen,0.9423077058436456
11,7,Garut — Wholesaler,Garut,Wholesaler,0.9212985348619404
11,8,Subang — Middlemen,Subang,Middlemen,0.9201635831121032
11,9,Indramayu — Retail,Indramayu,Retail,0.9174993811315331
11,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.9131843056109699
12,1,Karawang — Retail,Karawang,Retail,0.9999999999999999
12,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9919563583143992
12,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9546199074807926
12,4,Garut — Retail,Garut,Retail,0.9423104845704907
12,5,Subang — Retail,Subang,Retail,0.9393729428280371
12,6,Garut — Middlemen,Garut,Middlemen,0.9369480567800902
12,7,Garut — Wholesaler,Garut,Wholesaler,0.9120506822363358
12,8,Subang — Middlemen,Subang,Middlemen,0.9105412692658046
12,9,Indramayu — Retail,Indramayu,Retail,0.9099857476914408
12,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.905277682443376
13,1,Karawang — Retail,Karawang,Retail,1.0
13,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9906523169966828
13,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9569502345682337
13,4,Garut — Retail,Garut,Retail,0.9359325110621887
13,5,Subang — Retail,Subang,Retail,0.9326702038355147
13,6,Garut — Middlemen,Garut,Middlemen,0.9297007223933105
13,7,Garut — Wholesaler,Garut,Wholesaler,0.9062276851112284
13,8,Subang — Middlemen,Subang,Middlemen,0.9057248137309393
13,9,Indramayu — Retail,Indramayu,Retail,0.9000340517494786
13,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.8948054774417702
14,1,Karawang — Retail,Karawang,Retail,0.9999999999999999
14,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9933034327503365
14,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9591777949881664
14,4,Garut — Retail,Garut,Retail,0.9469095303720726
14,5,Subang — Retail,Subang,Retail,0.9442061713735199
14,6,Garut — Middlemen,Garut,Middlemen,0.9424451522056303
14,7,Garut — Wholesaler,Garut,Wholesaler,0.9200026305674978
14,8,Subang — Middlemen,Subang,Middlemen,0.9181428877692669
14,9,Indramayu — Retail,Indramayu,Retail,0.917161742602822
14,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.9128290073874586
15,1,Karawang — Retail,Karawang,Retail,0.9999999999999998
15,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9923391954252287
15,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9520570999657268
15,4,Garut — Retail,Garut,Retail,0.9330331409464496
15,5,Subang — Retail,Subang,Retail,0.9296231982148074
15,6,Garut — Middlemen,Garut,Middlemen,0.9279259378966023
15,7,Garut — Wholesaler,Garut,Wholesaler,0.9015514117750312
15,8,Subang — Middlemen,Subang,Middlemen,0.8989654759656415
15,9,Indramayu — Retail,Indramayu,Retail,0.8955100991527034
15,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.8900449060489874
16,1,Karawang — Retail,Karawang,Retail,1.0
16,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9923842961674794
16,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9586583932278602
16,4,Garut — Retail,Garut,Retail,0.9362992150987667
16,5,Subang — Retail,Subang,Retail,0.9330555803883472
16,6,Garut — Middlemen,Garut,Middlemen,0.9312220792104196
16,7,Garut — Wholesaler,Garut,Wholesaler,0.9085648318486502
16,8,Subang — Middlemen,Subang,Middlemen,0.9068577339050194
16,9,Indramayu — Retail,Indramayu,Retail,0.900606228330012
16,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.8954075808906103
17,1,Karawang — Retail,Karawang,Retail,0.9999999999999999
17,2,Karawang — Rice Miller,Karawang,Rice Miller,0.99081860058314
17,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9463957369880006
17,4,Garut — Retail,Garut,Retail,0.9459403700111887
17,5,Subang — Retail,Subang,Retail,0.9431876615078945
17,6,Garut — Middlemen,Garut,Middlemen,0.9398194370666154
17,7,Indramayu — Retail,Indramayu,Retail,0.9156495398290154
17,8,Tasikmalaya — Retail,Tasikmalaya,Retail,0.9112377110351931
17,9,Garut — Wholesaler,Garut,Wholesaler,0.9103827718757987
17,10,Subang — Middlemen,Subang,Middlemen,0.9090552546982406
18,1,Karawang — Retail,Karawang,Retail,0.9999999999999999
18,2,Karawang — Rice Miller,Karawang,Rice Miller,0.991860353867665
18,3,Garut — Retail,Garut,Retail,0.9510726220389857
18,4,Karawang — Wholesaler,Karawang,Wholesaler,0.9497819179285664
18,5,Subang — Retail,Subang,Retail,0.948581247063148
18,6,Garut — Middlemen,Garut,Middlemen,0.9456461912840958
18,7,Indramayu — Retail,Indramayu,Retail,0.9236575084434463
18,8,Tasikmalaya — Retail,Tasikmalaya,Retail,0.9196645248632904
18,9,Garut — Wholesaler,Garut,Wholesaler,0.9180298245904415
18,10,Subang — Middlemen,Subang,Middlemen,0.9164958718645699
19,1,Karawang — Retail,Karawang,Retail,1.0
19,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9937830648794954
19,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9521058651155823
19,4,Garut — Retail,Garut,Retail,0.9389530271326997
19,5,Subang — Retail,Subang,Retail,0.9358445241454064
19,6,Garut — Middlemen,Garut,Middlemen,0.93480840371903
19,7,Garut — Wholesaler,Garut,Wholesaler,0.9083387452538716
19,8,Subang — Middlemen,Subang,Middlemen,0.9048786484855182
19,9,Indramayu — Retail,Indramayu,Retail,0.9047470311123449
19,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.8997649623721892
20,1,Karawang — Retail,Karawang,Retail,1.0
20,2,Karawang — Rice Miller,Karawang,Rice Miller,0.993246913979904
20,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9541480276763387
20,4,Garut — Retail,Garut,Retail,0.9452522015892255
20,5,Subang — Retail,Subang,Retail,0.942464451649887
20,6,Garut — Middlemen,Garut,Middlemen,0.9407501442424948
20,7,Garut — Wholesaler,Garut,Wholesaler,0.9154771731645875
20,8,Indramayu — Retail,Indramayu,Retail,0.9145757751162391
20,9,Subang — Middlemen,Subang,Middlemen,0.9130082602879812
20,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.9101077846124745
21,1,Karawang — Retail,Karawang,Retail,0.9999999999999999
21,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9914485780013191
21,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9498120650870325
21,4,Garut — Retail,Garut,Retail,0.9465412644623259
21,5,Subang — Retail,Subang,Retail,0.9438191534171639
21,6,Garut — Middlemen,Garut,Middlemen,0.9408403164632054
21,7,Indramayu — Retail,Indramayu,Retail,0.9165871289963499
21,8,Garut — Wholesaler,Garut,Wholesaler,0.9132759137048708
21,9,Tasikmalaya — Retail,Tasikmalaya,Retail,0.9122243394475635
21,10,Subang — Middlemen,Subang,Middlemen,0.9118514948073668
22,1,Karawang — Retail,Karawang,Retail,0.9999999999999999
22,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9922392064047905
22,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9569401809190047
22,4,Garut — Retail,Garut,Retail,0.9440978681213102
22,5,Subang — Retail,Subang,Retail,0.9412513396895287
22,6,Garut — Middlemen,Garut,Middlemen,0.938924005724504
22,7,Garut — Wholesaler,Garut,Wholesaler,0.9153105342945672
22,8,Subang — Middlemen,Subang,Middlemen,0.913924168056764
22,9,Indramayu — Retail,Indramayu,Retail,0.9127746425663202
22,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.9082124464301369
23,1,Karawang — Retail,Karawang,Retail,0.9999999999999999
23,2,Karawang — Rice Miller,Karawang,Rice Miller,0.991903116513546
23,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9580417884527385
23,4,Garut — Retail,Garut,Retail,0.9254450079694139
23,5,Subang — Retail,Subang,Retail,0.921648678609259
23,6,Garut — Middlemen,Garut,Middlemen,0.9200470856451113
23,7,Garut — Wholesaler,Garut,Wholesaler,0.8970831262120252
23,8,Subang — Middlemen,Subang,Middlemen,0.8951469546033686
23,9,Indramayu — Retail,Indramayu,Retail,0.8836701640923993
23,10,Karawang — Middlemen,Karawang,Middlemen,0.8818788817558575
24,1,Karawang — Retail,Karawang,Retail,1.0000000000000002
24,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9917499317147198
24,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9542002490628263
24,4,Garut — Retail,Garut,Retail,0.9254489646638081
24,5,Subang — Retail,Subang,Retail,0.9216528367779568
24,6,Garut — Middlemen,Garut,Middlemen,0.9199489191402879
24,7,Garut — Wholesaler,Garut,Wholesaler,0.8948325165219704
24,8,Subang — Middlemen,Subang,Middlemen,0.8925857392619979
24,9,Karawang — Middlemen,Karawang,Middlemen,0.8864472711085806
24,10,Indramayu — Retail,Indramayu,Retail,0.8836763378119192
25,1,Karawang — Retail,Karawang,Retail,1.0000000000000002
25,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9916063386565861
25,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9576994313403753
25,4,Garut — Retail,Garut,Retail,0.9371701747137721
25,5,Subang — Retail,Subang,Retail,0.9339708891403842
25,6,Garut — Middlemen,Garut,Middlemen,0.9315744004848294
25,7,Garut — Wholesaler,Garut,Wholesaler,0.9084426603564154
25,8,Subang — Middlemen,Subang,Middlemen,0.9073074407202899
25,9,Indramayu — Retail,Indramayu,Retail,0.9019652062647714
25,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.8968376382002845
26,1,Karawang — Retail,Karawang,Retail,1.0
26,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9923350143851922
26,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9538328745590023
26,4,Garut — Retail,Garut,Retail,0.9513079820628049
26,5,Subang — Retail,Subang,Retail,0.9488285915851784
26,6,Garut — Middlemen,Garut,Middlemen,0.946197991652933
26,7,Indramayu — Retail,Indramayu,Retail,0.9240247459979598
26,8,Garut — Wholesaler,Garut,Wholesaler,0.9208248139689589
26,9,Tasikmalaya — Retail,Tasikmalaya,Retail,0.9200509702468294
26,10,Subang — Middlemen,Subang,Middlemen,0.9193744487053279
27,1,Karawang — Retail,Karawang,Retail,1.0
27,2,Karawang — Rice Miller,Karawang,Rice Miller,0.990811961143086
27,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9572265594714002
27,4,Garut — Retail,Garut,Retail,0.9266519091273306
27,5,Subang — Retail,Subang,Retail,0.9229170349987548
27,6,Garut — Middlemen,Garut,Middlemen,0.920526549889388
27,7,Garut — Wholesaler,Garut,Wholesaler,0.8971957174605696
27,8,Subang — Middlemen,Subang,Middlemen,0.8961210548456053
27,9,Karawang — Middlemen,Karawang,Middlemen,0.8957423949532801
27,10,Indramayu — Retail,Indramayu,Retail,0.8855533191948712
28,1,Karawang — Retail,Karawang,Retail,1.0
28,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9909320104138766
28,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9526377409108033
28,4,Garut — Retail,Garut,Retail,0.9347034464292225
28,5,Subang — Retail,Subang,Retail,0.9313785554100408
28,6,Garut — Middlemen,Garut,Middlemen,0.9286581200384735
28,7,Garut — Wholesaler,Garut,Wholesaler,0.9027304032214006
28,8,Subang — Middlemen,Subang,Middlemen,0.9014465651169803
28,9,Indramayu — Retail,Indramayu,Retail,0.8981163144769143
28,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.892787435695455
29,1,Karawang — Retail,Karawang,Retail,0.9999999999999999
29,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9934463336668049
29,3,Karawang — Wholesaler,Karawang,Wholesaler,0.959091441781757
29,4,Garut — Retail,Garut,Retail,0.9448627816177876
29,5,Subang — Retail,Subang,Retail,0.9420552024700924
29,6,Garut — Middlemen,Garut,Middlemen,0.9404936707289909
29,7,Garut — Wholesaler,Garut,Wholesaler,0.9179903364175548
29,8,Subang — Middlemen,Subang,Middlemen,0.9158996720040747
29,9,Indramayu — Retail,Indramayu,Retail,0.9139681543501081
29,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.9094683831211845
30,1,Karawang — Retail,Karawang,Retail,0.9999999999999999
30,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9922378998698005
30,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9587798278743606
30,4,Garut — Retail,Garut,Retail,0.9460102878986644
30,5,Subang — Retail,Subang,Retail,0.9432611396040402
30,6,Garut — Middlemen,Garut,Middlemen,0.9408355544785314
30,7,Garut — Wholesaler,Garut,Wholesaler,0.9182591918310444
30,8,Subang — Middlemen,Subang,Middlemen,0.9171801238006728
30,9,Indramayu — Retail,Indramayu,Retail,0.9157586342860803
30,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.9113525115200135
31,1,Karawang — Retail,Karawang,Retail,1.0
31,2,Karawang — Rice Miller,Karawang,Rice Miller,0.991705652804316
31,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9618456765533008
31,4,Garut — Retail,Garut,Retail,0.9525171200580774
31,5,Subang — Retail,Subang,Retail,0.9500992987114629
31,6,Garut — Middlemen,Garut,Middlemen,0.9469875552609547
31,7,Subang — Middlemen,Subang,Middlemen,0.9262203062394153
31,8,Garut — Wholesaler,Garut,Wholesaler,0.92618459411914
31,9,Indramayu — Retail,Indramayu,Retail,0.9259113912882175
31,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.9220362937896823
32,1,Karawang — Retail,Karawang,Retail,0.9999999999999999
32,2,Karawang — Rice Miller,Karawang,Rice Miller,0.992522994461808
32,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9572093677518736
32,4,Garut — Retail,Garut,Retail,0.9435094931786073
32,5,Subang — Retail,Subang,Retail,0.9406330047802436
32,6,Garut — Middlemen,Garut,Middlemen,0.9385248228198128
32,7,Garut — Wholesaler,Garut,Wholesaler,0.9150389896045961
32,8,Subang — Middlemen,Subang,Middlemen,0.9134210745458873
32,9,Indramayu — Retail,Indramayu,Retail,0.911856587870416
32,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.9072463742114654
33,1,Karawang — Retail,Karawang,Retail,0.9999999999999999
33,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9914978863038433
33,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9572216934216544
