iter	MultiClass
0	1.027176822
1	0.9613574908
2	0.8959986755
3	0.8393641547
4	0.7876260439
5	0.746982911
6	0.7026567241
7	0.6631554893
8	0.6311968698
9	0.599668694
10	0.5740039333
11	0.5514937285
12	0.5254320767
13	0.5002231238
14	0.4774780509
15	0.4539674124
16	0.4345016451
17	0.4144827052
18	0.3943172136
19	0.3767853061
20	0.3638850086
21	0.3490156576
22	0.3346816403
23	0.3199111611
24	0.3064885417
25	0.2943996296
26	0.2826737026
27	0.2720509725
28	0.2611634369
29	0.2510089029
30	0.2406439346
31	0.2317340616
32	0.2230015315
33	0.214438737
34	0.20641537
35	0.1981062222
36	0.1909202844
37	0.1832886722
38	0.176296142
39	0.1705954402
40	0.1647083619
41	0.1587943952
42	0.1537046066
43	0.1487347842
44	0.1437995266
45	0.1391559294
46	0.1345065804
47	0.1308889662
48	0.1265708957
49	0.1223288477
50	0.1184875713
51	0.1147022496
52	0.1112545002
53	0.1084369268
54	0.1051894726
55	0.1024049833
56	0.1004582735
57	0.09735367306
58	0.09459462278
59	0.09218277993
60	0.09000319344
61	0.08743149521
62	0.08499713157
63	0.08234883372
64	0.08065499358
65	0.07872622168
66	0.07637024878
67	0.07425268106
68	0.07240399264
69	0.07030304242
70	0.06836384784
71	0.06627457324
72	0.06493250105
73	0.06362593581
74	0.06221787815
75	0.06090540958
76	0.05985175528
77	0.05848090254
78	0.05753162712
79	0.05598529465
