iter	Passed	Remaining
0	18	1498
1	34	1363
2	51	1315
3	67	1274
4	83	1248
5	99	1226
6	114	1196
7	130	1178
8	146	1156
9	162	1135
10	178	1119
11	195	1107
12	211	1091
13	227	1073
14	244	1058
15	260	1041
16	275	1022
17	292	1006
18	308	990
19	323	971
20	338	950
21	353	932
22	369	915
23	384	897
24	400	880
25	416	864
26	431	847
27	447	831
28	463	815
29	479	798
30	494	781
31	510	765
32	525	748
33	540	731
34	555	714
35	570	697
36	587	682
37	603	667
38	618	650
39	634	634
40	650	618
41	665	601
42	679	584
43	695	569
44	711	553
45	727	538
46	744	523
47	761	507
48	776	491
49	792	475
50	809	460
51	825	444
52	842	428
53	858	413
54	873	397
55	889	381
56	904	365
57	920	348
58	934	332
59	949	316
60	963	300
61	977	283
62	992	267
63	1007	251
64	1022	236
65	1038	220
66	1055	204
67	1072	189
68	1088	173
69	1104	157
70	1120	142
71	1135	126
72	1151	110
73	1168	94
74	1184	78
75	1199	63
76	1215	47
77	1231	31
78	1246	15
79	1262	0
