nama_provinsi,nama_kabupaten_kota,jumlah_banjir,satuan,tahun
JAWA BARAT,KABUPATEN GARUT,7,KEJADIAN,2012
JAWA BARAT,KABUPATEN TASIKMALAYA,0,KEJADIAN,2012
JAWA BARAT,KABUPATEN INDRAMAYU,10,KEJADIAN,2012
JAWA BARAT,KABUPATEN SUBANG,4,KEJADIAN,2012
JAWA BARAT,KABUPATEN KARAWANG,0,KEJADIAN,2012
JAWA BARAT,KABUPATEN GARUT,11,KEJADIAN,2013
JAWA BARAT,KABUPATEN TASIKMALAYA,12,KEJADIAN,2013
JAWA BARAT,KABUPATEN INDRAMAYU,5,KEJADIAN,2013
JAWA BARAT,KABUPATEN SUBANG,39,KEJADIAN,2013
JAWA BARAT,KABUPATEN KARAWANG,71,KEJADIAN,2013
JAWA BARAT,KABUPATEN GARUT,9,KEJADIAN,2014
JAWA BARAT,KABUPATEN TASIKMALAYA,6,KEJADIAN,2014
JAWA BARAT,KABUPATEN INDRAMAYU,1,KEJADIAN,2014
JAWA BARAT,KABUPATEN SUBANG,1,KEJADIAN,2014
JAWA BARAT,KABUPATEN KARAWANG,1,KEJADIAN,2014
JAWA BARAT,KABUPATEN GARUT,5,KEJADIAN,2015
JAWA BARAT,KABUPATEN TASIKMALAYA,1,KEJADIAN,2015
JAWA BARAT,KABUPATEN INDRAMAYU,1,KEJADIAN,2015
JAWA BARAT,KABUPATEN SUBANG,0,KEJADIAN,2015
JAWA BARAT,KABUPATEN KARAWANG,0,KEJADIAN,2015
JAWA BARAT,KABUPATEN GARUT,11,KEJADIAN,2016
JAWA BARAT,KABUPATEN TASIKMALAYA,8,KEJADIAN,2016
JAWA BARAT,KABUPATEN INDRAMAYU,4,KEJADIAN,2016
JAWA BARAT,KABUPATEN SUBANG,1,KEJADIAN,2016
JAWA BARAT,KABUPATEN KARAWANG,13,KEJADIAN,2016
JAWA BARAT,KABUPATEN GARUT,4,KEJADIAN,2017
JAWA BARAT,KABUPATEN TASIKMALAYA,5,KEJADIAN,2017
JAWA BARAT,KABUPATEN INDRAMAYU,3,KEJADIAN,2017
JAWA BARAT,KABUPATEN SUBANG,6,KEJADIAN,2017
JAWA BARAT,KABUPATEN KARAWANG,7,KEJADIAN,2017
JAWA BARAT,KABUPATEN GARUT,3,KEJADIAN,2018
JAWA BARAT,KABUPATEN TASIKMALAYA,5,KEJADIAN,2018
JAWA BARAT,KABUPATEN INDRAMAYU,2,KEJADIAN,2018
JAWA BARAT,KABUPATEN SUBANG,2,KEJADIAN,2018
JAWA BARAT,KABUPATEN KARAWANG,1,KEJADIAN,2018
JAWA BARAT,KABUPATEN GARUT,21,KEJADIAN,2019
JAWA BARAT,KABUPATEN TASIKMALAYA,3,KEJADIAN,2019
JAWA BARAT,KABUPATEN INDRAMAYU,2,KEJADIAN,2019
JAWA BARAT,KABUPATEN SUBANG,2,KEJADIAN,2019
JAWA BARAT,KABUPATEN KARAWANG,6,KEJADIAN,2019
JAWA BARAT,KABUPATEN GARUT,15,KEJADIAN,2020
JAWA BARAT,KABUPATEN TASIKMALAYA,6,KEJADIAN,2020
JAWA BARAT,KABUPATEN INDRAMAYU,5,KEJADIAN,2020
JAWA BARAT,KABUPATEN SUBANG,7,KEJADIAN,2020
JAWA BARAT,KABUPATEN KARAWANG,8,KEJADIAN,2020
JAWA BARAT,KABUPATEN GARUT,14,KEJADIAN,2021
JAWA BARAT,KABUPATEN TASIKMALAYA,1,KEJADIAN,2021
JAWA BARAT,KABUPATEN INDRAMAYU,10,KEJADIAN,2021
JAWA BARAT,KABUPATEN SUBANG,16,KEJADIAN,2021
JAWA BARAT,KABUPATEN KARAWANG,15,KEJADIAN,2021
JAWA BARAT,KABUPATEN GARUT,12,KEJADIAN,2022
JAWA BARAT,KABUPATEN TASIKMALAYA,4,KEJADIAN,2022
JAWA BARAT,KABUPATEN INDRAMAYU,1,KEJADIAN,2022
JAWA BARAT,KABUPATEN SUBANG,7,KEJADIAN,2022
JAWA BARAT,KABUPATEN KARAWANG,17,KEJADIAN,2022
JAWA BARAT,KABUPATEN GARUT,10,KEJADIAN,2023
JAWA BARAT,KABUPATEN TASIKMALAYA,3,KEJADIAN,2023
JAWA BARAT,KABUPATEN INDRAMAYU,2,KEJADIAN,2023
JAWA BARAT,KABUPATEN SUBANG,4,KEJADIAN,2023
JAWA BARAT,KABUPATEN KARAWANG,16,KEJADIAN,2023
JAWA BARAT,KABUPATEN GARUT,7,KEJADIAN,2024
JAWA BARAT,KABUPATEN TASIKMALAYA,3,KEJADIAN,2024
JAWA BARAT,KABUPATEN INDRAMAYU,7,KEJADIAN,2024
JAWA BARAT,KABUPATEN SUBANG,10,KEJADIAN,2024
JAWA BARAT,KABUPATEN KARAWANG,26,KEJADIAN,2024
JAWA BARAT,KABUPATEN GARUT,12,KEJADIAN,2025
JAWA BARAT,KABUPATEN TASIKMALAYA,3,KEJADIAN,2025
JAWA BARAT,KABUPATEN INDRAMAYU,9,KEJADIAN,2025
JAWA BARAT,KABUPATEN SUBANG,14,KEJADIAN,2025
JAWA BARAT,KABUPATEN KARAWANG,44,KEJADIAN,2025
