nama_provinsi,nama_kabupaten_kota,jumlah_banjir,satuan,tahun,region_key,region
JAWA BARAT,KABUPATEN GARUT,7,KEJADIAN,2012,GARUT,Garut
JAWA BARAT,KABUPATEN TASIKMALAYA,0,KEJADIAN,2012,TASIKMALAYA,Tasikmalaya
JAWA BARAT,KABUPATEN INDRAMAYU,10,KEJADIAN,2012,INDRAMAYU,Indramayu
JAWA BARAT,KABUPATEN SUBANG,4,KEJADIAN,2012,SUBANG,Subang
JAWA BARAT,KABUPATEN KARAWANG,0,KEJADIAN,2012,KARAWANG,Karawang
JAWA BARAT,KABUPATEN GARUT,11,KEJADIAN,2013,GARUT,Garut
JAWA BARAT,KABUPATEN TASIKMALAYA,12,KEJADIAN,2013,TASIKMALAYA,Tasikmalaya
JAWA BARAT,KABUPATEN INDRAMAYU,5,KEJADIAN,2013,INDRAMAYU,Indramayu
JAWA BARAT,KABUPATEN SUBANG,39,KEJADIAN,2013,SUBANG,Subang
JAWA BARAT,KABUPATEN KARAWANG,71,KEJADIAN,2013,KARAWANG,Karawang
JAWA BARAT,KABUPATEN GARUT,9,KEJADIAN,2014,GARUT,Garut
JAWA BARAT,KABUPATEN TASIKMALAYA,6,KEJADIAN,2014,TASIKMALAYA,Tasikmalaya
JAWA BARAT,KABUPATEN INDRAMAYU,1,KEJADIAN,2014,INDRAMAYU,Indramayu
JAWA BARAT,KABUPATEN SUBANG,1,KEJADIAN,2014,SUBANG,Subang
JAWA BARAT,KABUPATEN KARAWANG,1,KEJADIAN,2014,KARAWANG,Karawang
JAWA BARAT,KABUPATEN GARUT,5,KEJADIAN,2015,GARUT,Garut
JAWA BARAT,KABUPATEN TASIKMALAYA,1,KEJADIAN,2015,TASIKMALAYA,Tasikmalaya
JAWA BARAT,KABUPATEN INDRAMAYU,1,KEJADIAN,2015,INDRAMAYU,Indramayu
JAWA BARAT,KABUPATEN SUBANG,0,KEJADIAN,2015,SUBANG,Subang
JAWA BARAT,KABUPATEN KARAWANG,0,KEJADIAN,2015,KARAWANG,Karawang
JAWA BARAT,KABUPATEN GARUT,11,KEJADIAN,2016,GARUT,Garut
JAWA BARAT,KABUPATEN TASIKMALAYA,8,KEJADIAN,2016,TASIKMALAYA,Tasikmalaya
JAWA BARAT,KABUPATEN INDRAMAYU,4,KEJADIAN,2016,INDRAMAYU,Indramayu
JAWA BARAT,KABUPATEN SUBANG,1,KEJADIAN,2016,SUBANG,Subang
JAWA BARAT,KABUPATEN KARAWANG,13,KEJADIAN,2016,KARAWANG,Karawang
JAWA BARAT,KABUPATEN GARUT,4,KEJADIAN,2017,GARUT,Garut
JAWA BARAT,KABUPATEN TASIKMALAYA,5,KEJADIAN,2017,TASIKMALAYA,Tasikmalaya
JAWA BARAT,KABUPATEN INDRAMAYU,3,KEJADIAN,2017,INDRAMAYU,Indramayu
JAWA BARAT,KABUPATEN SUBANG,6,KEJADIAN,2017,SUBANG,Subang
