region,actor,n_units,high_vulnerability_share,medium_or_high_share,median_cost_revenue_ratio,median_margin,median_operational_burden,median_vulnerability_score,dominant_vulnerability_label,dominant_label_source,dominant_label_reason
Indramayu,Retail,16,1.0,1.0,2.1145,-3051000.0,1.2733333333333334,0.8081790319444621,High Vulnerability,hard_rule_below_break_even,R/C < 1: below break-even; Negative margin; High operational burden
Karawang,Retail,16,1.0,1.0,2.0233333333333334,-3070000.0,1.1333333333333333,0.7944989058152494,High Vulnerability,hard_rule_below_break_even,R/C < 1: below break-even; Negative margin
Tasikmalaya,Retail,28,1.0,1.0,2.017916666666667,-3053750.0,1.1333333333333333,0.8018549105330787,High Vulnerability,hard_rule_below_break_even,R/C < 1: below break-even; Negative margin
Subang,Retail,19,0.9473684210526315,1.0,1.7333333333333334,-2495000.0,1.0833333333333333,0.7917760543830493,High Vulnerability,hard_rule_below_break_even,R/C < 1: below break-even; Negative margin; High precipitation proxy exposure
Garut,Middlemen,24,0.9166666666666666,1.0,1.3577741702741704,-6500000.0,0.27822871572871577,0.7059728896751795,High Vulnerability,hard_rule_below_break_even,R/C < 1: below break-even; Negative margin
Garut,Retail,23,0.9130434782608695,1.0,1.7428571428571429,-2600000.0,1.0,0.7638764805121575,High Vulnerability,hard_rule_below_break_even,R/C < 1: below break-even; Negative margin
Tasikmalaya,Middlemen,29,0.7931034482758621,1.0,1.2960858585858586,-7685346.798251651,0.205081012094722,0.7217248439200352,High Vulnerability,hard_rule_below_break_even,R/C < 1: below break-even; Negative margin
Garut,Wholesaler,25,0.72,0.88,1.0795454545454546,-7000000.0,0.15222222222222223,0.7466194314074682,High Vulnerability,hard_rule_below_break_even,R/C < 1: below break-even; Negative margin; Far from actor frontier
Karawang,Rice Miller,14,0.7142857142857143,1.0,1.0644027757500236,-5688835.470085483,0.09914120329526245,0.7220322803777846,High Vulnerability,hard_rule_below_break_even,R/C < 1: below break-even; Negative margin
Karawang,Wholesaler,14,0.5714285714285714,0.7857142857142857,1.018028350515464,-3500000.0,0.06883771929824561,0.7269720558926281,High Vulnerability,hard_rule_below_break_even,R/C < 1: below break-even; Negative margin; Far from actor frontier
Indramayu,Middlemen,16,0.5625,0.625,1.0874807510466988,-6617415.258776158,0.15002090151515152,0.6738294333363596,High Vulnerability,hard_rule_below_break_even,R/C < 1: below break-even; Negative margin
Karawang,Middlemen,14,0.5,1.0,1.017790404040404,-1525000.0,0.14893507442849546,0.6056931317366535,Medium Vulnerability,soft_rule_thin_financial_buffer,R/C < 1: below break-even; Negative margin
Subang,Middlemen,21,0.42857142857142855,0.5714285714285714,0.9223993288590604,14840000.0,0.08179231863442389,0.4963104672376959,High Vulnerability,hard_rule_below_break_even,High precipitation proxy exposure
Garut,Rice Miller,24,0.4166666666666667,0.4583333333333333,0.8343007229654195,10700692.782526111,0.10003820554643855,0.2905172066996483,Low Vulnerability,default_positive_buffer,Positive financial/operational buffer
Tasikmalaya,Rice Miller,29,0.27586206896551724,0.6896551724137931,0.9293403351248561,2160000.0,0.09694773732062822,0.4395166429635765,Medium Vulnerability,soft_rule_thin_financial_buffer,Positive financial/operational buffer
Garut,Farmer,98,0.21428571428571427,0.23469387755102042,0.41724012360804813,6111000.0,0.22487772071411102,0.25136393682652114,Low Vulnerability,default_positive_buffer,Positive financial/operational buffer
Subang,Rice Miller,21,0.19047619047619047,0.19047619047619047,0.7525679967605681,74124362.54852271,0.01644064316892307,0.16517928574659238,Low Vulnerability,default_positive_buffer,Positive financial/operational buffer
Subang,Wholesaler,21,0.14285714285714285,0.14285714285714285,0.6228310502283105,67800000.0,0.058333333333333334,0.28379183742195696,Low Vulnerability,default_positive_buffer,Far from actor frontier; High precipitation proxy exposure
Indramayu,Rice Miller,17,0.11764705882352941,0.5294117647058824,0.8935617324505689,21382891.737891674,0.10497542179966861,0.4385695174375655,Low Vulnerability,default_positive_buffer,Positive financial/operational buffer
Indramayu,Farmer,62,0.0967741935483871,0.11290322580645161,0.5641353823411899,17616000.0,0.3673642235135734,0.2675257001555904,Low Vulnerability,default_positive_buffer,Far from actor frontier
Karawang,Farmer,53,0.09433962264150944,0.09433962264150944,0.4823529411764706,44410000.0,0.2516025641025641,0.25925729675454445,Low Vulnerability,default_positive_buffer,Far from actor frontier
Subang,Farmer,77,0.09090909090909091,0.11688311688311688,0.5085858585858586,13120000.0,0.30674486803519063,0.26257026927541205,Low Vulnerability,default_positive_buffer,Far from actor frontier
Tasikmalaya,Farmer,110,0.02727272727272727,0.05454545454545454,0.4203703703703704,7013500.0,0.2866713108092418,0.2389888923717274,Low Vulnerability,default_positive_buffer,Far from actor frontier
Indramayu,Wholesaler,16,0.0,0.125,0.8271464646464646,275500000.0,0.03356201332207524,0.2822816248928448,Low Vulnerability,default_positive_buffer,Far from actor frontier
