region,actor,n_units,median_total_cost,median_revenue,median_margin,median_cost_revenue_ratio,median_operational_burden_ratio,median_margin_ratio,median_vulnerability_score,dominant_true_vulnerability_label,dominant_predicted_vulnerability_label,predicted_high_vulnerability_share,true_high_vulnerability_share,median_predicted_proba_high
Garut,Farmer,98,7641100.0,13570000.0,6111000.0,0.4172401236080481,0.22487772071411094,0.5827598763919518,0.25136393682652114,Low Vulnerability,Low Vulnerability,0.20408163265306123,0.21428571428571427,0.0
Garut,Middlemen,24,40650000.0,26840000.0,-6500000.0,1.3577741702741704,0.27822871572871577,-0.35777417027417024,0.7059728896751795,High Vulnerability,High Vulnerability,0.9166666666666666,0.9166666666666666,1.0
Garut,Retail,23,5750000.0,3500000.0,-2600000.0,1.7428571428571429,1.0,-0.7428571428571429,0.7638764805121575,High Vulnerability,High Vulnerability,0.9130434782608695,0.9130434782608695,1.0
Garut,Rice Miller,24,49053832.82387624,43071595.8354668,10700692.78252611,0.8343007229654195,0.1000382055464385,0.16569927703458048,0.2905172066996482,Low Vulnerability,Low Vulnerability,0.4166666666666667,0.4166666666666667,0.0
Garut,Wholesaler,25,97000000.0,88000000.0,-7000000.0,1.0795454545454546,0.1522222222222222,-0.0795454545454545,0.7466194314074682,High Vulnerability,High Vulnerability,0.72,0.72,1.0
Indramayu,Farmer,62,26855000.0,47650000.0,17616000.0,0.5641353823411899,0.36736422351357334,0.4358646176588101,0.2675257001555904,Low Vulnerability,Low Vulnerability,0.08064516129032258,0.0967741935483871,0.0
Indramayu,Middlemen,16,99892414.0,88000000.0,-6617415.258776158,1.0874807510466988,0.1500209015151515,-0.08748075104669875,0.6738294333363596,High Vulnerability,High Vulnerability,0.5625,0.5625,1.0
Indramayu,Retail,16,5906250.0,3000000.0,-3051000.0,2.1145,1.2733333333333334,-1.1145,0.8081790319444621,High Vulnerability,High Vulnerability,1.0,1.0,1.0
Indramayu,Rice Miller,17,355525108.2621083,376908000.0,21382891.737891678,0.8935617324505689,0.1049754217996686,0.106438267549431,0.4385695174375655,Low Vulnerability,Low Vulnerability,0.11764705882352941,0.11764705882352941,0.0
Indramayu,Wholesaler,16,164500000.0,828800000.0,275500000.0,0.8271464646464646,0.0335620133220752,0.17285353535353531,0.28228162489284475,Low Vulnerability,Low Vulnerability,0.0,0.0,0.0
Karawang,Farmer,53,40890000.0,81600000.0,44410000.0,0.4823529411764706,0.2516025641025641,0.5176470588235295,0.2592572967545444,Low Vulnerability,Low Vulnerability,0.09433962264150944,0.09433962264150944,0.0
Karawang,Middlemen,14,68075000.0,66500000.0,-1525000.0,1.017790404040404,0.1489350744284954,-0.01779040404040405,0.6056931317366535,Medium Vulnerability,Medium Vulnerability,0.5,0.5,0.5
Karawang,Retail,16,5972500.0,3000000.0,-3070000.0,2.0233333333333334,1.1333333333333333,-1.0233333333333334,0.7944989058152494,High Vulnerability,High Vulnerability,1.0,1.0,1.0
Karawang,Rice Miller,14,101737594.96676165,92100000.0,-5688835.470085483,1.0644027757500236,0.0991412032952624,-0.0644027757500235,0.7220322803777846,High Vulnerability,High Vulnerability,0.7142857142857143,0.7142857142857143,1.0
Karawang,Wholesaler,14,199900000.0,200000000.0,-3500000.0,1.018028350515464,0.0688377192982456,-0.0180283505154639,0.7269720558926281,High Vulnerability,High Vulnerability,0.5714285714285714,0.5714285714285714,1.0
Subang,Farmer,77,13035000.0,25650000.0,13120000.0,0.5085858585858586,0.3067448680351906,0.4914141414141414,0.262570269275412,Low Vulnerability,Low Vulnerability,0.07792207792207792,0.09090909090909091,0.0
Subang,Middlemen,21,115400000.0,130240000.0,14840000.0,0.9223993288590604,0.0817923186344238,0.0776006711409396,0.4963104672376959,High Vulnerability,High Vulnerability,0.42857142857142855,0.42857142857142855,0.0
Subang,Retail,19,5000000.0,3000000.0,-2495000.0,1.7333333333333334,1.0833333333333333,-0.7333333333333333,0.7917760543830493,High Vulnerability,High Vulnerability,0.9473684210526315,0.9473684210526315,1.0
Subang,Rice Miller,21,214780151.94681865,298500000.0,74124362.54852271,0.7525679967605681,0.016440643168923,0.2474320032394319,0.1651792857465923,Low Vulnerability,Low Vulnerability,0.19047619047619047,0.19047619047619047,0.0
Subang,Wholesaler,21,124500000.0,180000000.0,67800000.0,0.6228310502283105,0.0583333333333333,0.3771689497716895,0.2837918374219569,Low Vulnerability,Low Vulnerability,0.14285714285714285,0.14285714285714285,0.0
Tasikmalaya,Farmer,110,6713450.0,14145000.0,7013500.0,0.4203703703703704,0.2866713108092418,0.5796296296296296,0.23898889237172738,Low Vulnerability,Low Vulnerability,0.02727272727272727,0.02727272727272727,0.0
Tasikmalaya,Middlemen,29,41257069.35965033,33440000.0,-7685346.798251651,1.2960858585858586,0.205081012094722,-0.2960858585858585,0.7217248439200352,High Vulnerability,High Vulnerability,0.7931034482758621,0.7931034482758621,1.0
Tasikmalaya,Retail,28,6070000.0,3000000.0,-3053750.0,2.017916666666667,1.1333333333333333,-1.0179166666666668,0.8018549105330787,High Vulnerability,High Vulnerability,1.0,1.0,1.0
Tasikmalaya,Rice Miller,29,37400000.0,44940000.0,2160000.0,0.929340335124856,0.0969477373206282,0.0706596648751438,0.4395166429635765,Medium Vulnerability,Medium Vulnerability,0.27586206896551724,0.27586206896551724,0.0
