model,fold,test_mae,test_rmse,test_r2,train_r2,is_optional_booster
Dummy Mean,1,0.03995209062500001,0.049922768992631025,-2.8644092386898024e-07,0.0,False
Dummy Mean,2,0.03989113125,0.04998602781951024,-0.0005904089774675381,0.0,False
Dummy Mean,3,0.039684802734375,0.04983997174771949,-4.046375141797398e-05,0.0,False
Dummy Mean,4,0.039806883203125004,0.05005960448696735,-4.130435599503102e-05,0.0,False
Dummy Mean,5,0.04033533046875,0.05052048490483372,-0.00014209871816661668,0.0,False
Ridge,1,2.2398894316712006e-06,2.7980897784763446e-06,0.9999999968585794,0.9999999968598074,False
Ridge,2,2.2392991094017655e-06,2.8055481641348844e-06,0.9999999968479395,0.999999996855281,False
Ridge,3,2.2225162401183775e-06,2.791427623605675e-06,0.9999999968629983,0.9999999968649603,False
Ridge,4,2.23694097917574e-06,2.81133166715842e-06,0.9999999968459594,0.9999999968506867,False
Ridge,5,2.2760280220844654e-06,2.849567908366041e-06,0.9999999968181134,0.9999999968215567,False
Lasso,1,0.00047786997024195515,0.000596959401425673,0.9998570143725699,0.9998570702718533,False
Lasso,2,0.0004777441691678835,0.0005985507953864834,0.9998565299970997,0.9998568641675029,False
Lasso,3,0.00047416346776844864,0.0005955380566662042,0.9998572155093147,0.9998573048186805,False
Lasso,4,0.00047724103239327474,0.0005997846201272729,0.9998564398972866,0.9998566550809262,False
Lasso,5,0.00048558022432204255,0.000607942326462467,0.9998551723613269,0.9998553291019507,False
ElasticNet,1,0.00010129394120327139,0.00012653729686447812,0.9999935754916441,0.9999935780027712,False
ElasticNet,2,0.00010126732851479348,0.00012687468736646994,0.9999935537216738,0.999993568734933,False
ElasticNet,3,0.00010050830437227853,0.0001262360424758176,0.9999935845261423,0.9999935885387559,False
ElasticNet,4,0.00010116061808664275,0.0001271361545820799,0.9999935496801151,0.9999935593474877,False
ElasticNet,5,0.00010292824544881493,0.00012886528941694116,0.9999934927334809,0.9999934997756244,False
Random Forest,1,0.021742452261954866,0.02742708313660749,0.6981702535636347,0.9150989937922303,False
Random Forest,2,0.02193844491777343,0.02782071763472643,0.6900470747827998,0.9156329864524866,False
Random Forest,3,0.021705257894834722,0.027574544480566107,0.6938891723934,0.9158974058932252,False
Random Forest,4,0.02175256364178385,0.02756318399599524,0.6968190717436951,0.9146389403844627,False
Random Forest,5,0.022177912321307176,0.027888046047365483,0.6952365639828744,0.9143322914208991,False
Extra Trees,1,0.022077893601190477,0.027835387551180694,0.6891167398023432,0.9649858170493151,False
Extra Trees,2,0.02204837330898269,0.027908580551525182,0.6880862071719975,0.9649805693208033,False
Extra Trees,3,0.021743820312500002,0.027646805127305774,0.6922827089075398,0.9650917256339104,False
Extra Trees,4,0.02207002428300866,0.02799676835517799,0.6872056370168105,0.9646822569415714,False
Extra Trees,5,0.022194751792478356,0.02791506795311151,0.6946456815245983,0.9645741727423743,False
Hist Gradient Boosting,1,0.02287369599368661,0.02886416329758875,0.6657120371102969,0.7126706034529504,False
Hist Gradient Boosting,2,0.02273075684534534,0.028826659179296533,0.6672272854507031,0.7156163545782354,False
Hist Gradient Boosting,3,0.022723429531340197,0.028881095365973757,0.6641933292624984,0.7137636092837478,False
Hist Gradient Boosting,4,0.022783292490030648,0.02905364674914023,0.6631439020846674,0.7141293853730557,False
Hist Gradient Boosting,5,0.022973039414774337,0.029014111422238264,0.6701281647517476,0.7142026214920403,False
XGBoost,1,0.026474344518333682,0.03327128820524984,0.5558373602134905,0.5877760969514403,True
XGBoost,2,0.026450658611655242,0.033292441711774236,0.5561355338532978,0.5887790205101042,True
XGBoost,3,0.0264066740757227,0.033244495970479244,0.5550599455326313,0.5901117067699704,True
XGBoost,4,0.026421296462267645,0.03340967645339014,0.5545616041211359,0.5888067344366443,True
XGBoost,5,0.026816860346347098,0.03366786612853158,0.5558211545387918,0.5864977449438009,True
LightGBM,1,0.02152695665565867,0.027258810038148597,0.7018625179753942,0.7519339876412449,True
LightGBM,2,0.021593573199412044,0.027425633206074825,0.6987879031566299,0.752882352266778,True
LightGBM,3,0.02134433557318424,0.02717410428617304,0.7027153582107122,0.75241789458379,True
LightGBM,4,0.0215438530417594,0.027449212273429467,0.6993211494009337,0.7519235641181361,True
LightGBM,5,0.021728844402959156,0.027481137209579325,0.7040651657504216,0.7507986725353689,True
CatBoost,1,0.021108648592366556,0.026624970915887797,0.71556628278549,0.7223527653684808,True
CatBoost,2,0.021114706587585567,0.026705609118555,0.7143961491959784,0.7234326536823596,True
CatBoost,3,0.020966597932952538,0.02654268686905841,0.7163702611311034,0.7216154396072786,True
CatBoost,4,0.02114542813486452,0.02681796455956354,0.7129915158619338,0.7226431221044253,True
CatBoost,5,0.02130305184920405,0.02683590002787775,0.717798694665539,0.720446744657477,True
