feature,pearson_corr_with_target,spearman_corr_with_target,abs_pearson_corr
DeterioratingInfrastructure,0.22944380417137164,0.21729465832719858,0.22944380417137164
TopographyDrainage,0.22941400069175252,0.22221288982566068,0.22941400069175252
RiverManagement,0.22891711683389385,0.21828205338784726,0.22891711683389385
Watersheds,0.22815207476930308,0.2203438008511848,0.22815207476930308
DamsQuality,0.22746693132114745,0.21643697679863863,0.22746693132114745
PopulationScore,0.22692821257804077,0.21656575775807713,0.22692821257804077
Siltation,0.22654361219645958,0.21625108169030371,0.22654361219645958
IneffectiveDisasterPreparedness,0.22512591815177066,0.21676578364336122,0.22512591815177066
PoliticalFactors,0.22500947581959554,0.21440977676147321,0.22500947581959554
MonsoonIntensity,0.22408068905676776,0.21201638426179495,0.22408068905676776
WetlandLoss,0.22373160565603606,0.21144781268357807,0.22373160565603606
InadequatePlanning,0.22332945111139213,0.21348409748864527,0.22332945111139213
Landslides,0.2229913703526368,0.21131204044416238,0.2229913703526368
AgriculturalPractices,0.2218460506012594,0.2128777183548007,0.2218460506012594
ClimateChange,0.22098564286072592,0.20970084898860605,0.22098564286072592
Urbanization,0.22086658119466984,0.20799676231048025,0.22086658119466984
Deforestation,0.22023716510931854,0.21395417786969217,0.22023716510931854
Encroachments,0.21825896430370298,0.20760434224134758,0.21825896430370298
DrainageSystems,0.21789459563988475,0.2053602396511721,0.21789459563988475
CoastalVulnerability,0.2151868514208601,0.20776435006631722,0.2151868514208601
