feature,importance
margin_ratio,0.5013012506225443
margin,0.3780274699898962
actor,0.0
value_of_rice_sold_idr,0.0
nilaiberashasilgiling,0.0
total_revenue_of_milling_machine_idr,0.0
total_rice_purchase_kg,0.0
total_rice_purchase_idr,0.0
building_rent_cost_idr,0.0
precipitation_quality_pct,0.0
total_precipitation_pct,0.0
amount_of_milled_rice_kg,0.0
value_of_rice_purchase_idr,0.0
operational_cost,0.0
quantity_proxy,0.0
cost_per_quantity_proxy,0.0
supporting_equipment_cost_idr,0.0
value_of_milled_grains_idr,0.0
region,0.0
number_of_machines,0.0
production_value_idr,0.0
equipment_rent_value_idr,0.0
pesticide_purchase_value_idr,0.0
fertilizer_purchase_value_idr,0.0
seed_purchase_value_idr,0.0
labor_cost_idr,0.0
land_lease_value_idr,0.0
land_area_m2,0.0
precipitation_stress_raw,0.0
operational_burden_ratio,0.0
cost_revenue_ratio,0.0
output_value,0.0
total_cost,0.0
output_per_quantity_proxy,0.0
