flood_scenario,region,actor,n_units,fail_share,survive_share,median_stressed_margin,median_stressed_cost_revenue_ratio,median_combined_buffer,dominant_stress_risk_label,dominant_predicted_vulnerability_label,stress_priority_signal
High,Garut,Farmer,98,0.29591836734693877,0.7040816326530612,4932000.0,0.5424121606904626,0.5827598763919518,Survives Scenario,Low Vulnerability,Watch
High,Garut,Middlemen,24,1.0,0.0,-24497500.0,1.7651064213564214,-0.35777417027417024,Already Failed,High Vulnerability,Severe
High,Garut,Retail,23,1.0,0.0,-4392500.0,2.2657142857142856,-0.7428571428571429,Already Failed,High Vulnerability,Severe
High,Garut,Rice Miller,24,0.6666666666666666,0.3333333333333333,-5242662.037037045,1.0845909398550453,0.1656992770345805,Already Failed,Low Vulnerability,High
High,Garut,Wholesaler,25,0.92,0.08,-27260000.0,1.4034090909090908,-0.07954545454545454,Already Failed,High Vulnerability,Severe
High,Indramayu,Farmer,62,0.1774193548387097,0.8225806451612904,9976200.0,0.733375997043547,0.4358646176588101,Survives Scenario,Low Vulnerability,Manageable
High,Indramayu,Middlemen,16,0.8125,0.1875,-37599165.58640901,1.4137249763607085,-0.08748075104669877,Already Failed,High Vulnerability,Severe
High,Indramayu,Retail,16,1.0,0.0,-4694550.0,2.74885,-1.1145,Already Failed,High Vulnerability,Severe
High,Indramayu,Rice Miller,17,0.8823529411764706,0.11764705882352941,-46862640.740740836,1.1616302521857398,0.10643826754943103,Critical Under High Stress,Low Vulnerability,Severe
High,Indramayu,Wholesaler,16,0.6875,0.3125,-33850000.0,1.075290404040404,0.17285353535353537,Critical Under High Stress,Low Vulnerability,High
High,Karawang,Farmer,53,0.09433962264150944,0.9056603773584906,29353000.0,0.6270588235294118,0.5176470588235295,Survives Scenario,Low Vulnerability,Manageable
High,Karawang,Middlemen,14,1.0,0.0,-20517500.0,1.3231275252525252,-0.017790404040404044,Critical Under High Stress,Medium Vulnerability,Severe
High,Karawang,Retail,16,1.0,0.0,-4826000.0,2.6303333333333336,-1.0233333333333334,Already Failed,High Vulnerability,Severe
High,Karawang,Rice Miller,14,1.0,0.0,-32238873.45679012,1.3837236084750306,-0.06440277575002354,Already Failed,High Vulnerability,Severe
High,Karawang,Wholesaler,14,0.7857142857142857,0.21428571428571427,-61495000.0,1.3234368556701033,-0.01802835051546392,Already Failed,High Vulnerability,Severe
High,Subang,Farmer,77,0.16883116883116883,0.8311688311688312,7073800.0,0.6611616161616162,0.4914141414141414,Survives Scenario,Low Vulnerability,Manageable
High,Subang,Middlemen,21,0.8571428571428571,0.14285714285714285,-19780000.0,1.1991191275167785,0.0776006711409396,Already Failed,High Vulnerability,Severe
High,Subang,Retail,19,1.0,0.0,-4150000.0,2.2533333333333334,-0.7333333333333333,Already Failed,High Vulnerability,Severe
High,Subang,Rice Miller,21,0.42857142857142855,0.5714285714285714,8727182.69329232,0.9783383957887385,0.24743200323943196,Survives Scenario,Low Vulnerability,Watch
High,Subang,Wholesaler,21,0.19047619047619047,0.8095238095238095,34950000.0,0.8096803652968037,0.3771689497716895,Survives Scenario,Low Vulnerability,Manageable
High,Tasikmalaya,Farmer,110,0.09090909090909091,0.9090909090909091,5449575.0,0.5464814814814815,0.5796296296296296,Survives Scenario,Low Vulnerability,Manageable
High,Tasikmalaya,Middlemen,29,1.0,0.0,-20907500.0,1.6849116161616162,-0.29608585858585856,Already Failed,High Vulnerability,Severe
High,Tasikmalaya,Retail,28,1.0,0.0,-4869875.0,2.623291666666667,-1.0179166666666668,Already Failed,High Vulnerability,Severe
High,Tasikmalaya,Rice Miller,29,0.9310344827586207,0.06896551724137931,-7285915.616999507,1.2081424356623132,0.07065966487514386,Critical Under High Stress,Medium Vulnerability,Severe
Low,Garut,Farmer,98,0.21428571428571427,0.7857142857142857,5885225.0,0.43810212978845053,0.5827598763919518,Survives Scenario,Low Vulnerability,Manageable
Low,Garut,Middlemen,24,1.0,0.0,-9483057.069082119,1.425662878787879,-0.35777417027417024,Already Failed,High Vulnerability,Severe
Low,Garut,Retail,23,0.9565217391304348,0.043478260869565216,-2905000.0,1.83,-0.7428571428571429,Already Failed,High Vulnerability,Severe
Low,Garut,Rice Miller,24,0.4166666666666667,0.5833333333333334,8315520.37111228,0.8760157591136906,0.1656992770345805,Survives Scenario,Low Vulnerability,Watch
Low,Garut,Wholesaler,25,0.76,0.24,-11767500.0,1.1335227272727273,-0.07954545454545454,Already Failed,High Vulnerability,Severe
Low,Indramayu,Farmer,62,0.0967741935483871,0.9032258064516129,16919250.0,0.5923421514582494,0.4358646176588101,Survives Scenario,Low Vulnerability,Manageable
