flood_scenario,region,region_key,actor,n_units,mean_failure_probability,median_failure_probability,p75_failure_probability,expected_stressed_margin,p05_stressed_margin,p50_stressed_margin,p95_stressed_margin,expected_stressed_cost_revenue_ratio,historical_flood_exposure_score,dominant_monte_carlo_risk_label,dominant_predicted_vulnerability_label,monte_carlo_priority_signal
High,Garut,GARUT,Farmer,98,0.3578231292517006,0.0,1.0,3329794.772966464,2600671.1103246394,3334582.385510252,3953450.13760149,0.6575639569786784,0.3949554339103519,Low Failure Probability,Low Vulnerability,Elevated
High,Garut,GARUT,Middlemen,24,1.0,1.0,1.0,-30897767.14683047,-35360724.78677866,-30896048.62255199,-26289455.301714487,2.1452029772136045,0.3949554339103519,Critical Failure Probability,High Vulnerability,Severe
High,Garut,GARUT,Retail,23,1.0,1.0,1.0,-4858728.711949342,-5543058.812108274,-4903152.878447644,-4276462.2996858,2.7472846105198565,0.3949554339103519,Critical Failure Probability,High Vulnerability,Severe
High,Garut,GARUT,Rice Miller,24,0.9474999999999999,1.0,1.0,-14604909.21641546,-19372806.66553663,-14633983.264172904,-6065605.482175976,1.3128792195821393,0.3949554339103519,Critical Failure Probability,Low Vulnerability,Severe
High,Garut,GARUT,Wholesaler,25,0.9238666666666667,1.0,1.0,-44463914.10969272,-56085600.48863317,-44738193.53876327,-32948982.24249786,1.709418378039676,0.3949554339103519,Critical Failure Probability,High Vulnerability,Severe
High,Indramayu,INDRAMAYU,Farmer,62,0.34204301075268817,0.01,0.8925,4034297.2475965945,1683547.9835979622,4010693.1319542434,6443609.269964222,0.8756018798871841,0.0559353146853146,Low Failure Probability,Low Vulnerability,Elevated
High,Indramayu,INDRAMAYU,Middlemen,16,0.951875,1.0,1.0,-51983094.41481408,-62708356.38754445,-51873478.89164814,-41561642.74151014,1.6911987676288374,0.0559353146853146,Critical Failure Probability,High Vulnerability,Severe
High,Indramayu,INDRAMAYU,Retail,16,1.0,1.0,1.0,-5207873.056806514,-5827863.615896234,-5184737.413144417,-4547821.743896368,3.2787159393423124,0.0559353146853146,Critical Failure Probability,High Vulnerability,Severe
High,Indramayu,INDRAMAYU,Rice Miller,17,0.9633333333333333,1.0,1.0,-114636362.51327133,-185498770.90610543,-114833411.68767658,-66449412.935971625,1.3899215655676198,0.0559353146853146,Critical Failure Probability,Low Vulnerability,Severe
High,Indramayu,INDRAMAYU,Wholesaler,16,0.753125,1.0,1.0,-62066137.4376694,-81408642.03881429,-61224862.88317584,-43320808.32183491,1.2876301105094181,0.0559353146853146,Critical Failure Probability,Low Vulnerability,Severe
High,Karawang,KARAWANG,Farmer,53,0.24924528301886795,0.0,0.7266666666666667,14161012.463067103,7739424.130995211,14444694.919342153,21387993.86598555,0.7818275848309044,1.0,Low Failure Probability,Low Vulnerability,Watch
High,Karawang,KARAWANG,Middlemen,14,1.0,1.0,1.0,-35681866.39488204,-44390674.576044165,-35560472.047256246,-26869077.915498886,1.642946724649571,1.0,Critical Failure Probability,High Vulnerability,Severe
High,Karawang,KARAWANG,Retail,16,1.0,1.0,1.0,-5556769.619023388,-6233604.323803721,-5547229.756716143,-4849590.437048793,3.2727268970834986,1.0,Critical Failure Probability,High Vulnerability,Severe
High,Karawang,KARAWANG,Rice Miller,14,1.0,1.0,1.0,-53894567.935152926,-66499006.750729375,-53903267.073071525,-40042472.17785142,1.7211526855397583,1.0,Critical Failure Probability,High Vulnerability,Severe
High,Karawang,KARAWANG,Wholesaler,14,0.865,1.0,1.0,-102210547.32440107,-127636750.72040667,-102056897.9602974,-76783303.42655851,1.6420755220531924,1.0,Critical Failure Probability,High Vulnerability,Severe
High,Subang,SUBANG,Farmer,77,0.28549783549783553,0.0,0.84,3644458.709496361,1898531.1080197897,3683297.0004038317,5333120.7405003365,0.8050043516601539,0.3641466525278,Low Failure Probability,Low Vulnerability,Elevated
High,Subang,SUBANG,Middlemen,21,0.9053968253968253,1.0,1.0,-45668304.79965978,-58628104.562814705,-45838477.169565804,-31273884.627690937,1.458707869702684,0.3641466525278,Critical Failure Probability,High Vulnerability,Severe
High,Subang,SUBANG,Retail,19,1.0,1.0,1.0,-4613509.599925627,-5112296.441570932,-4600899.154841551,-4068035.6914852425,2.748975918129801,0.3641466525278,Critical Failure Probability,High Vulnerability,Severe
High,Subang,SUBANG,Rice Miller,21,0.9398412698412699,0.9966666666666667,1.0,-38412566.66751872,-75120999.61446753,-38030893.5838026,-22595398.44314683,1.1774999873201486,0.3641466525278,Critical Failure Probability,Low Vulnerability,Severe
High,Subang,SUBANG,Wholesaler,21,0.4507936507936508,0.4166666666666667,0.9566666666666667,7051926.499462193,-13754476.879058765,5342647.197221309,22266488.67573232,0.9866074493304666,0.3641466525278,Low Failure Probability,Low Vulnerability,Elevated
High,Tasikmalaya,TASIKMALAYA,Farmer,110,0.19599999999999998,0.0,0.21833333333333332,2790848.9521249607,1764799.3401480943,2801435.9299948644,3923208.438736194,0.6516637321310872,0.0065573770491803,Low Failure Probability,Low Vulnerability,Watch
High,Tasikmalaya,TASIKMALAYA,Middlemen,29,1.0,1.0,1.0,-26613412.53166235,-31317374.50047804,-26419430.15835759,-22270664.979913324,2.0131919194142442,0.0065573770491803,Critical Failure Probability,High Vulnerability,Severe
High,Tasikmalaya,TASIKMALAYA,Retail,28,1.0,1.0,1.0,-5360886.369400278,-5975031.5200697575,-5343531.097976651,-4742510.150791846,3.1380435914478704,0.0065573770491803,Critical Failure Probability,High Vulnerability,Severe
High,Tasikmalaya,TASIKMALAYA,Rice Miller,29,0.997816091954023,1.0,1.0,-15113691.439086497,-19306009.887149155,-15171219.723979844,-9838697.125822268,1.4355155263041095,0.0065573770491803,Critical Failure Probability,Medium Vulnerability,Severe
Low,Garut,GARUT,Farmer,98,0.216734693877551,0.0,0.0,5497377.621590262,5335115.398508732,5498469.7164318655,5731848.313779881,0.4531517132875474,0.3949554339103519,Low Failure Probability,Low Vulnerability,Watch
Low,Garut,GARUT,Middlemen,24,1.0,1.0,1.0,-10523627.887143973,-11547381.312214285,-10545205.09214753,-9733676.153605342,1.474119282116619,0.3949554339103519,Critical Failure Probability,High Vulnerability,Severe
Low,Garut,GARUT,Retail,23,0.9953623188405798,1.0,1.0,-3023636.866771337,-3156385.1930359737,-3022938.2479307977,-2879349.380977307,1.8929970380194634,0.3949554339103519,Critical Failure Probability,High Vulnerability,Severe
Low,Garut,GARUT,Rice Miller,24,0.4334722222222222,0.0,1.0,6167895.851507237,4701604.788742873,6155909.138218407,7709816.786747889,0.9067117126548099,0.3949554339103519,Low Failure Probability,Low Vulnerability,Elevated
Low,Garut,GARUT,Wholesaler,25,0.8062666666666667,1.0,1.0,-12975973.81724445,-14601056.004363857,-12989920.09461087,-12075699.800048724,1.1734700647447611,0.3949554339103519,Critical Failure Probability,High Vulnerability,Severe
Low,Indramayu,INDRAMAYU,Farmer,62,0.11231182795698924,0.0,0.0,15790920.671901822,14774277.884772789,15790170.025009982,16497455.163381692,0.6109320224592768,0.0559353146853146,Low Failure Probability,Low Vulnerability,Watch
Low,Indramayu,INDRAMAYU,Middlemen,16,0.59,1.0,1.0,-13228917.360460924,-18236022.591326557,-13224618.664101537,-11309259.555845272,1.1788719899140645,0.0559353146853146,Critical Failure Probability,High Vulnerability,High
Low,Indramayu,INDRAMAYU,Retail,16,1.0,1.0,1.0,-3368843.019762785,-3482060.228534191,-3372870.417371648,-3252491.510392572,2.2891523301990784,0.0559353146853146,Critical Failure Probability,High Vulnerability,Severe
Low,Indramayu,INDRAMAYU,Rice Miller,17,0.463921568627451,0.01,1.0,6075945.309239601,1440799.3942454471,5939163.183267206,10548281.528278716,0.9670819713417774,0.0559353146853146,Low Failure Probability,Low Vulnerability,Elevated
Low,Indramayu,INDRAMAYU,Wholesaler,16,0.11125,0.0,0.0,156614406.36333257,119583792.52846527,157064913.11805677,191462502.75963044,0.8951612937565356,0.0559353146853146,Low Failure Probability,Low Vulnerability,Watch
Low,Karawang,KARAWANG,Farmer,53,0.09433962264150944,0.0,0.0,39576288.883561805,38139073.05800421,39563654.35166988,40967981.2594376,0.5266094983928564,1.0,Low Failure Probability,Low Vulnerability,Watch
Low,Karawang,KARAWANG,Middlemen,14,0.774047619047619,1.0,1.0,-4305755.829313331,-6354927.008073854,-4412656.424124901,-2782837.0690279542,1.1090394045455176,1.0,Critical Failure Probability,High Vulnerability,Severe
Low,Karawang,KARAWANG,Retail,16,1.0,1.0,1.0,-3503306.595230084,-3636472.449729318,-3501219.4516456607,-3362810.209037023,2.2079442074755744,1.0,Critical Failure Probability,High Vulnerability,Severe
Low,Karawang,KARAWANG,Rice Miller,14,0.9666666666666667,1.0,1.0,-12311440.011073422,-15041968.86691371,-12288693.843254404,-10324680.328895545,1.1613741616777733,1.0,Critical Failure Probability,High Vulnerability,Severe
Low,Karawang,KARAWANG,Wholesaler,14,0.7857142857142857,1.0,1.0,-18958959.331506856,-23581922.58661683,-18956631.541829314,-13456934.65289855,1.1100864112475883,1.0,Critical Failure Probability,High Vulnerability,Severe
Low,Subang,SUBANG,Farmer,77,0.10766233766233765,0.0,0.0,10831719.884623257,10428278.42679149,10827742.385513145,11734727.019815942,0.5526252244659676,0.3641466525278,Low Failure Probability,Low Vulnerability,Watch
Low,Subang,SUBANG,Middlemen,21,0.5017460317460317,0.5366666666666666,1.0,-392963.73193343234,-5764785.006970101,-336673.2889686376,5228104.895083456,1.001778995626527,0.3641466525278,Critical Failure Probability,High Vulnerability,High
Low,Subang,SUBANG,Retail,19,1.0,1.0,1.0,-2876913.8994761696,-2996076.6447436437,-2880152.0489665046,-2763679.520315891,1.8815168601256749,0.3641466525278,Critical Failure Probability,High Vulnerability,Severe
Low,Subang,SUBANG,Rice Miller,21,0.19047619047619047,0.0,0.0,56981847.825001426,50933301.62122723,56940124.449227944,62318558.90241886,0.8171933907006548,0.3641466525278,Low Failure Probability,Low Vulnerability,Watch
Low,Subang,SUBANG,Wholesaler,21,0.14285714285714285,0.0,0.0,56202317.438534945,51947855.25422976,56543708.62354624,63731207.24790925,0.674696854010406,0.3641466525278,Low Failure Probability,Low Vulnerability,Watch
Low,Tasikmalaya,TASIKMALAYA,Farmer,110,0.035606060606060606,0.0,0.0,6440268.9445033055,6260717.0935979495,6440484.244689725,6627554.390895591,0.4551660957977139,0.0065573770491803,Low Failure Probability,Low Vulnerability,Watch
Low,Tasikmalaya,TASIKMALAYA,Middlemen,29,0.9657471264367816,1.0,1.0,-10739795.259740809,-11519954.208195386,-10681895.15612768,-9910769.564204672,1.4030135634171246,0.0065573770491803,Critical Failure Probability,High Vulnerability,Severe
Low,Tasikmalaya,TASIKMALAYA,Retail,28,1.0,1.0,1.0,-3446147.238639679,-3572572.150976277,-3445561.5922829495,-3324187.4521390814,2.1846498184027494,0.0065573770491803,Critical Failure Probability,High Vulnerability,Severe
Low,Tasikmalaya,TASIKMALAYA,Rice Miller,29,0.5057471264367815,0.67,1.0,-262283.3050570943,-1370825.255167776,-281309.16468696296,1183331.6798999417,1.0062618084275678,0.0065573770491803,Critical Failure Probability,Medium Vulnerability,High
Medium,Garut,GARUT,Farmer,98,0.28901360544217686,0.0,0.9216666666666666,4636330.064231312,4336344.620253621,4635908.2001268,4929731.72662172,0.5265252844722828,0.3949554339103519,Low Failure Probability,Low Vulnerability,Elevated
Medium,Garut,GARUT,Middlemen,24,1.0,1.0,1.0,-19519537.231876265,-23757536.451461658,-19298249.97586111,-16674919.363894474,1.7128184411419476,0.3949554339103519,Critical Failure Probability,High Vulnerability,Severe
