actor,region,region_key,dmu,predicted_vulnerability_label,base_cost,base_revenue,base_margin,historical_flood_exposure_score,historical_flood_exposure_level,external_data_coverage,flood_scenario,flood_probability_reference,monte_carlo_n_simulations,exposure_stress_modifier,failure_probability,expected_stressed_margin,p05_stressed_margin,p50_stressed_margin,p95_stressed_margin,expected_stressed_cost_revenue_ratio,cost_shock_min,cost_shock_mode,cost_shock_max,revenue_shock_min,revenue_shock_mode,revenue_shock_max,monte_carlo_risk_label
Farmer,Garut,GARUT,1,Low Vulnerability,11418000.0,16200000.0,4782000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,3686844.988112944,3345502.8700379184,3689679.641565107,4019697.1707381136,0.7651778714234435,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,2,High Vulnerability,8264000.0,8100000.0,-164000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,1.0,-845505.559127802,-1052271.850956186,-849556.8619240313,-635430.6380271697,1.107766130202707,0.02,0.05,0.08,0.01,0.03,0.05,Critical Failure Probability
Farmer,Garut,GARUT,3,Low Vulnerability,6450000.0,14850000.0,8400000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,7603725.966353838,7344303.403523312,7608461.044486316,7842939.815956949,0.4715330505710396,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,4,Low Vulnerability,4570000.0,13050000.0,8480000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,7831648.251156406,7637822.124510538,7826822.377771228,8035861.30543364,0.3803309712754474,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,5,Low Vulnerability,3778000.0,10200000.0,6422000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,5908573.451304013,5747948.254746959,5906873.292384251,6067053.7083076555,0.4020430937157469,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,6,High Vulnerability,3628000.0,3600000.0,-28000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,1.0,-326814.36294729816,-413484.27862225496,-327221.66997770104,-234892.81004768045,1.0937784116460998,0.02,0.05,0.08,0.01,0.03,0.05,Critical Failure Probability
Farmer,Garut,GARUT,7,Low Vulnerability,3100000.0,8100000.0,5000000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,4587946.450953482,4456985.018711472,4588304.346569046,4711560.9676391175,0.4154646804045631,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,8,Low Vulnerability,3994000.0,7850000.0,3856000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,3404207.7387751527,3263280.7420954583,3407518.045839982,3544739.9160751626,0.5524937453899775,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,9,Low Vulnerability,13690000.0,29700000.0,16010000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,14365335.241626667,13843470.30892785,14366487.259417292,14888682.212432168,0.5007321635957817,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,10,Low Vulnerability,11588000.0,36450000.0,24862000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,23119238.72067491,22545408.667371944,23105701.04999037,23705204.12872039,0.34524164589719136,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,11,Low Vulnerability,5130000.0,13050000.0,7920000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,7239749.80289429,7036618.657483227,7237973.582288982,7445643.242206943,0.4272244877295177,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,12,Low Vulnerability,8420000.0,28200000.0,19780000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,18456543.415530767,18038033.901653554,18461153.85385969,18875501.8704273,0.32421612122452065,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,13,Low Vulnerability,4434000.0,9400000.0,4966000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,4442362.500318572,4272720.994030173,4443686.57049856,4608859.68724484,0.5121661512209887,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,14,Low Vulnerability,1455400.0,2100000.0,644600.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,503819.3774440561,463032.5392025158,503648.1834649468,546435.4799846197,0.7524394567333236,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,15,Low Vulnerability,7480000.0,19800000.0,12320000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,11310123.141860161,10994729.812232845,11309088.590770865,11633461.729946207,0.410482202586378,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,16,High Vulnerability,6822000.0,6750000.0,-72000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,1.0,-637366.6395521872,-806803.5986048743,-642458.8921495541,-464533.47930313856,1.0975531011355715,0.02,0.05,0.08,0.01,0.03,0.05,Critical Failure Probability
Farmer,Garut,GARUT,17,Low Vulnerability,3477000.0,9300000.0,5823000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,5348945.896905943,5200414.8728065975,5348208.273728914,5501796.432263232,0.4062396854815842,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,18,Low Vulnerability,10710000.0,25650000.0,14940000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,13594782.356596658,13181401.9147444,13601617.103233825,14007105.545518365,0.4532544560475141,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,19,High Vulnerability,8194000.0,6750000.0,-1444000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,1.0,-2079131.7706408643,-2274842.964147649,-2078789.8723900616,-1875853.935744165,1.3180506131438305,0.02,0.05,0.08,0.01,0.03,0.05,Critical Failure Probability
Farmer,Garut,GARUT,20,Low Vulnerability,9114000.0,13500000.0,4386000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,3495295.861161974,3219567.282179595,3489818.652894847,3759296.505731415,0.7329673386103239,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,21,High Vulnerability,6600000.0,5400000.0,-1200000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,1.0,-1717037.1614980006,-1879897.0982871715,-1717883.0051055034,-1553592.9766463942,1.3283684544650851,0.02,0.05,0.08,0.01,0.03,0.05,Critical Failure Probability
Farmer,Garut,GARUT,22,High Vulnerability,8194000.0,6750000.0,-1444000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,1.0,-2082539.4855666675,-2274817.928444269,-2082571.0877718567,-1886967.6094293913,1.3185703153401642,0.02,0.05,0.08,0.01,0.03,0.05,Critical Failure Probability
Farmer,Garut,GARUT,23,High Vulnerability,6550000.0,5400000.0,-1150000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,1.0,-1660561.7523776484,-1814060.125408997,-1662149.3812467684,-1503468.6687127356,1.3176507533587005,0.02,0.05,0.08,0.01,0.03,0.05,Critical Failure Probability
Farmer,Garut,GARUT,24,High Vulnerability,8194000.0,6750000.0,-1444000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,1.0,-2078220.0882976244,-2271162.210847939,-2079482.494761209,-1882510.7036235407,1.317975636880938,0.02,0.05,0.08,0.01,0.03,0.05,Critical Failure Probability
Farmer,Garut,GARUT,25,Low Vulnerability,5610000.0,14850000.0,9240000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,8487986.05832781,8251920.960804512,8486416.151318591,8720662.690931782,0.41004403697673736,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
