flood_scenario,predicted_vulnerability_label,stress_risk_label,n_units,share_within_vulnerability
High,High Vulnerability,Already Failed,270,0.9926470588235294
High,High Vulnerability,Critical Under High Stress,2,0.007352941176470588
High,Low Vulnerability,Critical Under High Stress,66,0.14634146341463414
High,Low Vulnerability,Survives Scenario,385,0.8536585365853658
High,Medium Vulnerability,Critical Under High Stress,64,1.0
Low,High Vulnerability,Already Failed,270,0.9926470588235294
Low,High Vulnerability,Fails Under Scenario,2,0.007352941176470588
Low,Low Vulnerability,Borderline,8,0.017738359201773836
Low,Low Vulnerability,Survives Scenario,443,0.9822616407982262
Low,Medium Vulnerability,Borderline,34,0.53125
Low,Medium Vulnerability,Fails Under Scenario,30,0.46875
Medium,High Vulnerability,Already Failed,270,0.9926470588235294
Medium,High Vulnerability,Fails Under Scenario,2,0.007352941176470588
Medium,Low Vulnerability,Borderline,8,0.017738359201773836
Medium,Low Vulnerability,Survives Scenario,443,0.9822616407982262
Medium,Medium Vulnerability,Fails Under Scenario,64,1.0
