region,actor,flood_scenario,flood_probability_reference,vulnerability_label,predicted_high_vulnerability_share,fail_share,survive_share,dominant_stress_risk_label,median_margin,median_cost_revenue_ratio,median_stressed_margin,median_stressed_cost_revenue_ratio,priority_label,priority_rank,base_priority_sort_score,regional_exposure_priority_modifier,priority_sort_score,priority_reason,recommended_action,region_key,mean_failure_probability,median_failure_probability,p75_failure_probability,dominant_monte_carlo_risk_label,monte_carlo_priority_signal,expected_stressed_margin,p05_stressed_margin,p50_stressed_margin,p95_stressed_margin,historical_flood_exposure_score,historical_flood_exposure_level,vulnerability_component,hazard_component,monte_carlo_failure_component,external_exposure_component,monte_carlo_enhanced_priority_score,monte_carlo_enhanced_priority_label,monte_carlo_priority_reason,monte_carlo_priority_rank
Karawang,Retail,High,0.5499976285304322,High Vulnerability,1.0,1.0,0.0,Already Failed,-3070000.0,2.023333333333333,-5006600.0,2.6910333333333334,Critical,5,1.0,1.1,1.1,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.02; HistFloodExp=1.00,"Prepare buffer stock, backup suppliers, and consumer price monitoring.",KARAWANG,1.0,1.0,1.0,Critical Failure Probability,Severe,-5556769.619023388,-6233604.323803721,-5547229.756716143,-4849590.437048793,1.0,High,1.0,1.0,1.0,1.0,0.9999999999999999,Critical,Vulnerability=High Vulnerability; Flood=High; MC failure=100.0%; Historical exposure=100.0%,1
Karawang,Rice Miller,High,0.5499976285304322,High Vulnerability,0.7142857142857143,1.0,0.0,Already Failed,-5688835.470085483,1.0644027757500236,-35531851.43637228,1.4156556917475314,Critical,5,1.0,1.1,1.1,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.06; HistFloodExp=1.00,"Secure milling capacity, backup machine schedule, and protect grain-to-rice processing continuity.",KARAWANG,1.0,1.0,1.0,Critical Failure Probability,Severe,-53894567.935152926,-66499006.750729375,-53903267.073071525,-40042472.17785142,1.0,High,1.0,1.0,1.0,1.0,0.9999999999999999,Critical,Vulnerability=High Vulnerability; Flood=High; MC failure=100.0%; Historical exposure=100.0%,2
Karawang,Wholesaler,High,0.5499976285304322,High Vulnerability,0.5714285714285714,0.7857142857142857,0.2142857142857142,Already Failed,-3500000.0,1.018028350515464,-67529500.0,1.353977706185567,Critical,5,0.9571428571428572,1.1,1.052857142857143,Flood=High; Vulnerability=High Vulnerability; FailShare=79%; Median C/R=1.02; HistFloodExp=1.00,Prepare buffer stock and route contingency for bulk distribution.,KARAWANG,0.865,1.0,1.0,Critical Failure Probability,Severe,-102210547.32440108,-127636750.72040668,-102056897.9602974,-76783303.42655851,1.0,High,1.0,1.0,0.865,1.0,0.9662499999999999,Critical,Vulnerability=High Vulnerability; Flood=High; MC failure=86.5%; Historical exposure=100.0%,3
Garut,Middlemen,High,0.5499976285304322,High Vulnerability,0.9166666666666666,1.0,0.0,Already Failed,-6500000.0,1.3577741702741704,-25266182.013248023,1.7811942299536083,Critical,5,1.0,1.0394955433910351,1.0394955433910351,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.36; HistFloodExp=0.39,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows.",GARUT,1.0,1.0,1.0,Critical Failure Probability,Severe,-30897767.14683047,-35360724.78677866,-30896048.62255199,-26289455.301714487,0.3949554339103519,Medium,1.0,1.0,1.0,0.3949554339103519,0.9394955433910351,Critical,Vulnerability=High Vulnerability; Flood=High; MC failure=100.0%; Historical exposure=39.5%,4
Garut,Retail,High,0.5499976285304322,High Vulnerability,0.9130434782608696,1.0,0.0,Already Failed,-2600000.0,1.7428571428571429,-4448484.932756792,2.286364812687313,Critical,5,1.0,1.0394955433910351,1.0394955433910351,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.74; HistFloodExp=0.39,"Prepare buffer stock, backup suppliers, and consumer price monitoring.",GARUT,1.0,1.0,1.0,Critical Failure Probability,Severe,-4858728.711949342,-5543058.812108274,-4903152.878447644,-4276462.2996858,0.3949554339103519,Medium,1.0,1.0,1.0,0.3949554339103519,0.9394955433910351,Critical,Vulnerability=High Vulnerability; Flood=High; MC failure=100.0%; Historical exposure=39.5%,5
Subang,Retail,High,0.5499976285304322,High Vulnerability,0.9473684210526316,1.0,0.0,Already Failed,-2495000.0,1.7333333333333334,-4210084.197667087,2.2722689592647787,Critical,5,1.0,1.03641466525278,1.03641466525278,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.73; HistFloodExp=0.36,"Prepare buffer stock, backup suppliers, and consumer price monitoring.",SUBANG,1.0,1.0,1.0,Critical Failure Probability,Severe,-4613509.599925627,-5112296.441570932,-4600899.154841551,-4068035.6914852425,0.3641466525278,Medium,1.0,1.0,1.0,0.3641466525278,0.9364146652527799,Critical,Vulnerability=High Vulnerability; Flood=High; MC failure=100.0%; Historical exposure=36.4%,6
Garut,Wholesaler,High,0.5499976285304322,High Vulnerability,0.72,0.92,0.08,Already Failed,-7000000.0,1.0795454545454546,-28328749.40416141,1.4162002612118691,Critical,5,0.984,1.0394955433910351,1.0228636146967789,Flood=High; Vulnerability=High Vulnerability; FailShare=92%; Median C/R=1.08; HistFloodExp=0.39,Prepare buffer stock and route contingency for bulk distribution.,GARUT,0.9238666666666668,1.0,1.0,Critical Failure Probability,Severe,-44463914.10969272,-56085600.48863317,-44738193.53876327,-32948982.24249786,0.3949554339103519,Medium,1.0,1.0,0.9238666666666668,0.3949554339103519,0.9204622100577019,Critical,Vulnerability=High Vulnerability; Flood=High; MC failure=92.4%; Historical exposure=39.5%,7
Subang,Middlemen,High,0.5499976285304322,High Vulnerability,0.4285714285714285,0.8571428571428571,0.1428571428571428,Already Failed,14840000.0,0.9223993288590604,-21221854.300914228,1.209195786353716,Critical,5,0.9714285714285716,1.03641466525278,1.0068028176741293,Flood=High; Vulnerability=High Vulnerability; FailShare=86%; Median C/R=0.92; HistFloodExp=0.36,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows.",SUBANG,0.9053968253968252,1.0,1.0,Critical Failure Probability,Severe,-45668304.79965978,-58628104.56281471,-45838477.169565804,-31273884.627690937,0.3641466525278,Medium,1.0,1.0,0.9053968253968252,0.3641466525278,0.9127638716019862,Critical,Vulnerability=High Vulnerability; Flood=High; MC failure=90.5%; Historical exposure=36.4%,8
Indramayu,Retail,High,0.5499976285304322,High Vulnerability,1.0,1.0,0.0,Already Failed,-3051000.0,2.1145,-4703986.567263987,2.752398256687063,Critical,5,1.0,1.0055935314685314,1.0055935314685314,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.11; HistFloodExp=0.06,"Prepare buffer stock, backup suppliers, and consumer price monitoring.",INDRAMAYU,1.0,1.0,1.0,Critical Failure Probability,Severe,-5207873.056806514,-5827863.615896234,-5184737.413144417,-4547821.743896368,0.0559353146853146,Low,1.0,1.0,1.0,0.0559353146853146,0.9055935314685314,Critical,Vulnerability=High Vulnerability; Flood=High; MC failure=100.0%; Historical exposure=5.6%,9
Tasikmalaya,Retail,High,0.5499976285304322,High Vulnerability,1.0,1.0,0.0,Already Failed,-3053750.0,2.017916666666667,-4871065.901639344,2.623688633879781,Critical,5,1.0,1.000655737704918,1.000655737704918,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.02; HistFloodExp=0.01,"Prepare buffer stock, backup suppliers, and consumer price monitoring.",TASIKMALAYA,1.0,1.0,1.0,Critical Failure Probability,Severe,-5360886.369400278,-5975031.5200697575,-5343531.097976651,-4742510.150791846,0.0065573770491803,Low,1.0,1.0,1.0,0.0065573770491803,0.9006557377049179,Critical,Vulnerability=High Vulnerability; Flood=High; MC failure=100.0%; Historical exposure=0.7%,10
Tasikmalaya,Middlemen,High,0.5499976285304322,High Vulnerability,0.7931034482758621,1.0,0.0,Already Failed,-7685346.798251651,1.2960858585858586,-20914459.01639344,1.6851665838715018,Critical,5,1.0,1.000655737704918,1.000655737704918,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.30; HistFloodExp=0.01,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows.",TASIKMALAYA,1.0,1.0,1.0,Critical Failure Probability,Severe,-26613412.53166235,-31317374.50047804,-26419430.15835759,-22270664.979913324,0.0065573770491803,Low,1.0,1.0,1.0,0.0065573770491803,0.9006557377049179,Critical,Vulnerability=High Vulnerability; Flood=High; MC failure=100.0%; Historical exposure=0.7%,11
Indramayu,Middlemen,High,0.5499976285304322,High Vulnerability,0.5625,0.8125,0.1875,Already Failed,-6617415.258776158,1.0874807510466988,-37761290.8675926,1.4155498337014292,Critical,5,0.9625,1.0055935314685314,0.9678837740384616,Flood=High; Vulnerability=High Vulnerability; FailShare=81%; Median C/R=1.09; HistFloodExp=0.06,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows.",INDRAMAYU,0.951875,1.0,1.0,Critical Failure Probability,Severe,-51983094.41481408,-62708356.38754445,-51873478.89164814,-41561642.74151014,0.0559353146853146,Low,1.0,1.0,0.951875,0.0559353146853146,0.8935622814685314,Critical,Vulnerability=High Vulnerability; Flood=High; MC failure=95.2%; Historical exposure=5.6%,12
Karawang,Retail,Medium,0.4999999437061118,High Vulnerability,1.0,1.0,0.0,Already Failed,-3070000.0,2.023333333333333,-4041962.5,2.3571833333333334,Critical,5,0.8833333333333333,1.1,0.9716666666666668,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.02; HistFloodExp=1.00,"Prepare buffer stock, backup suppliers, and consumer price monitoring.",KARAWANG,1.0,1.0,1.0,Critical Failure Probability,Severe,-4279511.599507719,-4612186.047851989,-4278024.185102376,-3960770.769264664,1.0,High,1.0,0.55,1.0,1.0,0.865,Critical,Vulnerability=High Vulnerability; Flood=Medium; MC failure=100.0%; Historical exposure=100.0%,13
Karawang,Rice Miller,Medium,0.4999999437061118,High Vulnerability,0.7142857142857143,1.0,0.0,Already Failed,-5688835.470085483,1.0644027757500236,-19670224.47649573,1.2400292337487775,Critical,5,0.8833333333333333,1.1,0.9716666666666668,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.06; HistFloodExp=1.00,"Secure milling capacity, backup machine schedule, and protect grain-to-rice processing continuity.",KARAWANG,1.0,1.0,1.0,Critical Failure Probability,Severe,-27095111.04434236,-33297993.245215103,-27205648.933340102,-21783381.50135555,1.0,High,1.0,0.55,1.0,1.0,0.865,Critical,Vulnerability=High Vulnerability; Flood=Medium; MC failure=100.0%; Historical exposure=100.0%,14
Karawang,Middlemen,High,0.5499976285304322,Medium Vulnerability,0.5,1.0,0.0,Critical Under High Stress,-1525000.0,1.017790404040404,-23021750.0,1.3536612373737371,Critical,5,0.8499999999999999,1.1,0.935,Flood=High; Vulnerability=Medium Vulnerability; FailShare=100%; Median C/R=1.02; HistFloodExp=1.00,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows.",KARAWANG,1.0,1.0,1.0,Critical Failure Probability,Severe,-35681866.39488204,-44390674.576044165,-35560472.047256246,-26869077.915498886,1.0,High,0.6,1.0,1.0,1.0,0.86,Critical,Vulnerability=Medium Vulnerability; Flood=High; MC failure=100.0%; Historical exposure=100.0%,15
Karawang,Wholesaler,Medium,0.4999999437061118,High Vulnerability,0.5714285714285714,0.7857142857142857,0.2142857142857142,Already Failed,-3500000.0,1.018028350515464,-34339750.0,1.1860030283505156,Critical,5,0.8404761904761905,1.1,0.9245238095238096,Flood=Medium; Vulnerability=High Vulnerability; FailShare=79%; Median C/R=1.02; HistFloodExp=1.00,Prepare buffer stock and route contingency for bulk distribution.,KARAWANG,0.7857142857142857,1.0,1.0,Critical Failure Probability,Severe,-51892922.21415414,-64702668.714409344,-51859649.68734727,-39912977.20770942,1.0,High,1.0,0.55,0.7857142857142857,1.0,0.8114285714285714,Critical,Vulnerability=High Vulnerability; Flood=Medium; MC failure=78.6%; Historical exposure=100.0%,16
