region,actor,flood_scenario,lhs_enhanced_priority_score,lhs_mean_failure_probability,historical_flood_exposure_score,removed_component,removed_component_label,ablated_priority_score,score_change,absolute_score_change,full_rank,ablated_rank,rank_shift
Karawang,Retail,High,1.0,1.0,1.0,lhs_component_vulnerability,Vulnerability,1.0,0.0,0.0,1.0,1.0,0.0
Karawang,Rice Miller,High,0.9925,1.0,1.0,lhs_component_vulnerability,Vulnerability,0.9884615384615384,-0.004038461538461657,0.004038461538461657,2.0,3.0,1.0
Karawang,Wholesaler,High,0.9561607142857144,0.8646428571428572,1.0,lhs_component_vulnerability,Vulnerability,0.932554945054945,-0.023605769230769402,0.023605769230769402,3.0,4.0,1.0
Garut,Retail,High,0.9394955433910352,1.0,0.3949554339103519,lhs_component_vulnerability,Vulnerability,0.9069162206015926,-0.032579322789442644,0.032579322789442644,4.0,5.0,1.0
Subang,Retail,High,0.93641466525278,1.0,0.3641466525278,lhs_component_vulnerability,Vulnerability,0.9021764080812,-0.03423825717158002,0.03423825717158002,5.0,6.0,1.0
Garut,Middlemen,High,0.9344955433910352,1.0,0.3949554339103519,lhs_component_vulnerability,Vulnerability,0.8992239129092848,-0.035271630481750416,0.035271630481750416,6.0,7.0,1.0
Karawang,Retail,Medium,0.9166666666666666,1.0,1.0,lhs_component_vulnerability,Vulnerability,0.8717948717948716,-0.044871794871795045,0.044871794871795045,7.0,9.0,2.0
Garut,Wholesaler,High,0.9104205433910352,0.9237,0.3949554339103519,lhs_component_vulnerability,Vulnerability,0.8621854513708233,-0.04823509202021192,0.04823509202021192,8.0,12.0,4.0
Karawang,Rice Miller,Medium,0.9091666666666666,1.0,1.0,lhs_component_vulnerability,Vulnerability,0.8602564102564101,-0.04891025641025648,0.04891025641025648,9.0,13.0,4.0
Subang,Middlemen,High,0.9084979985861134,0.9083333333333332,0.3641466525278,lhs_component_vulnerability,Vulnerability,0.8592276901324819,-0.04927030845363145,0.04927030845363145,10.0,14.0,4.0
Indramayu,Retail,High,0.9055935314685316,1.0,0.0559353146853146,lhs_component_vulnerability,Vulnerability,0.854759279182356,-0.05083425228617566,0.05083425228617566,11.0,15.0,4.0
Tasikmalaya,Retail,High,0.900655737704918,1.0,0.0065573770491803,lhs_component_vulnerability,Vulnerability,0.8471626733921815,-0.05349306431273648,0.05349306431273648,12.0,16.0,4.0
Tasikmalaya,Middlemen,High,0.895655737704918,1.0,0.0065573770491803,lhs_component_vulnerability,Vulnerability,0.8394703656998738,-0.056185372005044254,0.056185372005044254,13.0,17.0,4.0
Indramayu,Middlemen,High,0.8880154064685315,0.9496875,0.0559353146853146,lhs_component_vulnerability,Vulnerability,0.8277160099515867,-0.060299396516944825,0.060299396516944825,14.0,20.0,6.0
Karawang,Middlemen,High,0.8783333333333333,1.0,1.0,lhs_component_vulnerability,Vulnerability,0.9923076923076922,0.11397435897435892,0.11397435897435892,15.0,2.0,-13.0
Garut,Retail,Medium,0.8561622100577019,1.0,0.3949554339103519,lhs_component_vulnerability,Vulnerability,0.7787110923964642,-0.07745111766123769,0.07745111766123769,16.0,21.0,5.0
Karawang,Wholesaler,Medium,0.853095238095238,0.7857142857142857,1.0,lhs_component_vulnerability,Vulnerability,0.7739926739926738,-0.07910256410256422,0.07910256410256422,17.0,22.0,5.0
Subang,Retail,Medium,0.8530813319194467,1.0,0.3641466525278,lhs_component_vulnerability,Vulnerability,0.7739712798760716,-0.07911005204337507,0.07911005204337507,18.0,23.0,5.0
Garut,Middlemen,Medium,0.8511622100577019,1.0,0.3949554339103519,lhs_component_vulnerability,Vulnerability,0.7710187847041565,-0.08014342535354535,0.08014342535354535,19.0,24.0,5.0
Karawang,Retail,Low,0.8333333333333334,1.0,1.0,lhs_component_vulnerability,Vulnerability,0.7435897435897436,-0.08974358974358976,0.08974358974358976,20.0,26.0,6.0
Garut,Wholesaler,Medium,0.8226872100577018,0.9061,0.3949554339103519,lhs_component_vulnerability,Vulnerability,0.7272110923964642,-0.09547611766123765,0.09547611766123765,21.0,27.0,6.0
